"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"malvina_e"
2,"sw","onze",NA,"malvina_e"
3,"sw","grand",NA,"malvina_e"
4,"sw","race",NA,"malvina_e"
5,"sw","rose",NA,"malvina_e"
6,"sw","scie",NA,"malvina_e"
7,"sw","base",NA,"malvina_e"
8,"sw","orge",NA,"malvina_e"
9,"sw","enfer",NA,"malvina_e"
10,"sw","maire",NA,"malvina_e"
11,"sw","chacun",NA,"malvina_e"
12,"sw","signe",NA,"malvina_e"
13,"sw","brun",NA,"malvina_e"
14,"sw","congé",NA,"malvina_e"
15,"sw","patient",NA,"malvina_e"
16,"sw","payé",NA,"malvina_e"
17,"sw","pantin",NA,"malvina_e"
18,"sw","compte",NA,"malvina_e"
19,"sw","cesse",NA,"malvina_e"
20,"sw","bille",NA,"malvina_e"
21,"sw","maîtresse",NA,"malvina_e"
22,"sw","piler",NA,"malvina_e"
23,"sw","femme",NA,"malvina_e"
24,"sw","parfum",NA,"malvina_e"
25,"sw","doigt",NA,"malvina_e"
26,"sw","lapin",NA,"malvina_e"
27,"sw","linge",NA,"malvina_e"
28,"sw","coup",NA,"malvina_e"
29,"sw","vers",NA,"malvina_e"
30,"sw","volé",NA,"malvina_e"
31,"sw","mars",NA,"malvina_e"
32,"sw","frime",NA,"malvina_e"
33,"sw","monsieur",NA,"malvina_e"
34,"sw","jeunesse",NA,"malvina_e"
35,"sw","marcherions",NA,"malvina_e"
36,"sw","canton",NA,"malvina_e"
37,"sw","tentait",NA,"malvina_e"
38,"sw","cracher",NA,"malvina_e"
39,"sw","crique",NA,"malvina_e"
40,"sw","retrouverez",NA,"malvina_e"
41,"sw","suave",NA,"malvina_e"
42,"sw","près",NA,"malvina_e"
43,"sw","automne",NA,"malvina_e"
44,"sw","client",NA,"malvina_e"
45,"sw","soixante-dix",NA,"malvina_e"
46,"sw","sien",NA,"malvina_e"
47,"sw","rond",NA,"malvina_e"
48,"sw","deux",NA,"malvina_e"
49,"sw","pire",NA,"malvina_e"
50,"sw","sens",NA,"malvina_e"
51,"sw","rien",NA,"malvina_e"
52,"sw","gare",NA,"malvina_e"
53,"sw","chez",NA,"malvina_e"
54,"sw","directeur",NA,"malvina_e"
55,"sw","douzième",NA,"malvina_e"
56,"sw","slave",NA,"malvina_e"
57,"sw","pincera",NA,"malvina_e"
58,"sw","montagne",NA,"malvina_e"
59,"sw","igloo",NA,"malvina_e"
60,"sw","rogner",NA,"malvina_e"
61,"sw","fille",NA,"malvina_e"
62,"sw","morte",NA,"malvina_e"
63,"sw","paire",NA,"malvina_e"
64,"sw","varie",NA,"malvina_e"
65,"sw","cœur",NA,"malvina_e"
66,"sw","chandail",NA,"malvina_e"
67,"sw","magner",NA,"malvina_e"
68,"sw","mais",NA,"malvina_e"
69,"sw","ruse",NA,"malvina_e"
70,"sw","rasé",NA,"malvina_e"
71,"sw","album",NA,"malvina_e"
72,"sw","glisserai",NA,"malvina_e"
73,"sw","qui",NA,"malvina_e"
74,"sw","partons",NA,"malvina_e"
75,"sw","rebondirons",NA,"malvina_e"
76,"sw","librairie",NA,"malvina_e"
77,"sw","voilent",NA,"malvina_e"
78,"sw","roue",NA,"malvina_e"
79,"sw","case",NA,"malvina_e"
80,"sw","prie","prie","malvina_e"
81,"sw","mois",NA,"malvina_e"
82,"sw","dans",NA,"malvina_e"
83,"sw","coule",NA,"malvina_e"
84,"sw","poêle",NA,"malvina_e"
85,"sw","saule",NA,"malvina_e"
86,"sw","œil",NA,"malvina_e"
87,"sw","tant",NA,"malvina_e"
88,"sw","clamer",NA,"malvina_e"
89,"sw","pensant","p@se","malvina_e"
90,"sw","finie",NA,"malvina_e"
91,"sw","poison",NA,"malvina_e"
92,"sw","mairie",NA,"malvina_e"
93,"sw","boulangerie",NA,"malvina_e"
94,"sw","cousin",NA,"malvina_e"
95,"sw","boulette",NA,"malvina_e"
96,"sw","revolver",NA,"malvina_e"
97,"sw","grade",NA,"malvina_e"
98,"sw","gens",NA,"malvina_e"
99,"sw","porche",NA,"malvina_e"
100,"sw","encore",NA,"malvina_e"
101,"sw","les",NA,"malvina_e"
102,"sw","sept",NA,"malvina_e"
103,"sw","patrie",NA,"malvina_e"
104,"sw","présent",NA,"malvina_e"
105,"sw","six",NA,"malvina_e"
106,"sw","teint",NA,"malvina_e"
107,"sw","cirer",NA,"malvina_e"
108,"sw","trier",NA,"malvina_e"
109,"sw","asie",NA,"malvina_e"
110,"sw","cale",NA,"malvina_e"
111,"sw","pipe",NA,"malvina_e"
112,"sw","cinquante",NA,"malvina_e"
113,"sw","ose",NA,"malvina_e"
114,"sw","emmener",NA,"malvina_e"
115,"sw","écrire",NA,"malvina_e"
116,"sw","portrait",NA,"malvina_e"
117,"sw","ration",NA,"malvina_e"
118,"sw","savant",NA,"malvina_e"
119,"sw","écho",NA,"malvina_e"
120,"sw","aisance","es@s","malvina_e"
121,"sw","crie",NA,"malvina_e"
122,"sw","brise",NA,"malvina_e"
123,"sw","trois",NA,"malvina_e"
124,"sw","repartira",NA,"malvina_e"
125,"sw","bon",NA,"malvina_e"
126,"sw","ces",NA,"malvina_e"
127,"sw","ail",NA,"malvina_e"
128,"sw","délivrer",NA,"malvina_e"
129,"sw","édition",NA,"malvina_e"
130,"sw","larguer","larZe","malvina_e"
131,"sw","caillou",NA,"malvina_e"
132,"sw","pari",NA,"malvina_e"
133,"sw","raie",NA,"malvina_e"
134,"sw","loin",NA,"malvina_e"
135,"sw","pale",NA,"malvina_e"
136,"sw","poli",NA,"malvina_e"
137,"sw","bain",NA,"malvina_e"
138,"sw","lange",NA,"malvina_e"
139,"sw","gars",NA,"malvina_e"
140,"sw","long",NA,"malvina_e"
141,"sw","renifle",NA,"malvina_e"
142,"sw","chien",NA,"malvina_e"
143,"sw","criant",NA,"malvina_e"
144,"sw","agile",NA,"malvina_e"
145,"sw","lueur",NA,"malvina_e"
146,"sw","baiser","bese","malvina_e"
147,"sw","galet",NA,"malvina_e"
148,"sw","placer",NA,"malvina_e"
149,"sw","fiable",NA,"malvina_e"
150,"sw","désert",NA,"malvina_e"
151,"sw","aspect",NA,"malvina_e"
152,"sw","étiole",NA,"malvina_e"
153,"sw","accident",NA,"malvina_e"
