"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"maya_ba"
2,"sw","onze",NA,"maya_ba"
3,"sw","grand",NA,"maya_ba"
4,"sw","race",NA,"maya_ba"
5,"sw","rose",NA,"maya_ba"
6,"sw","scie",NA,"maya_ba"
7,"sw","base",NA,"maya_ba"
8,"sw","orge",NA,"maya_ba"
9,"sw","enfer",NA,"maya_ba"
10,"sw","maire",NA,"maya_ba"
11,"sw","chacun",NA,"maya_ba"
12,"sw","signe",NA,"maya_ba"
13,"sw","brun",NA,"maya_ba"
14,"sw","congé",NA,"maya_ba"
15,"sw","patient",NA,"maya_ba"
16,"sw","payé",NA,"maya_ba"
17,"sw","pantin",NA,"maya_ba"
18,"sw","compte",NA,"maya_ba"
19,"sw","cesse",NA,"maya_ba"
20,"sw","bille",NA,"maya_ba"
21,"sw","maîtresse",NA,"maya_ba"
22,"sw","piler",NA,"maya_ba"
23,"sw","femme",NA,"maya_ba"
24,"sw","parfum",NA,"maya_ba"
25,"sw","doigt",NA,"maya_ba"
26,"sw","lapin",NA,"maya_ba"
27,"sw","linge",NA,"maya_ba"
28,"sw","coup",NA,"maya_ba"
29,"sw","vers",NA,"maya_ba"
30,"sw","volé",NA,"maya_ba"
31,"sw","mars",NA,"maya_ba"
32,"sw","frime",NA,"maya_ba"
33,"sw","monsieur",NA,"maya_ba"
34,"sw","jeunesse",NA,"maya_ba"
35,"sw","marcherions",NA,"maya_ba"
36,"sw","canton",NA,"maya_ba"
37,"sw","tentait",NA,"maya_ba"
38,"sw","cracher",NA,"maya_ba"
39,"sw","crique",NA,"maya_ba"
40,"sw","retrouverez",NA,"maya_ba"
41,"sw","suave",NA,"maya_ba"
42,"sw","près",NA,"maya_ba"
43,"sw","automne",NA,"maya_ba"
44,"sw","client",NA,"maya_ba"
45,"sw","soixante-dix",NA,"maya_ba"
46,"sw","sien",NA,"maya_ba"
47,"sw","rond",NA,"maya_ba"
48,"sw","deux",NA,"maya_ba"
49,"sw","pire",NA,"maya_ba"
50,"sw","sens",NA,"maya_ba"
51,"sw","rien",NA,"maya_ba"
52,"sw","gare",NA,"maya_ba"
53,"sw","chez",NA,"maya_ba"
54,"sw","directeur",NA,"maya_ba"
55,"sw","douzième",NA,"maya_ba"
56,"sw","slave",NA,"maya_ba"
57,"sw","pincera",NA,"maya_ba"
58,"sw","montagne",NA,"maya_ba"
