"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"micael_a"
2,"sw","onze",NA,"micael_a"
3,"sw","grand",NA,"micael_a"
4,"sw","race",NA,"micael_a"
5,"sw","rose",NA,"micael_a"
6,"sw","scie",NA,"micael_a"
7,"sw","base",NA,"micael_a"
8,"sw","orge",NA,"micael_a"
9,"sw","enfer",NA,"micael_a"
10,"sw","maire",NA,"micael_a"
11,"sw","chacun",NA,"micael_a"
12,"sw","signe",NA,"micael_a"
13,"sw","brun","bryn","micael_a"
14,"sw","congé",NA,"micael_a"
15,"sw","patient","pati@","micael_a"
16,"sw","payé",NA,"micael_a"
17,"sw","pantin","pat5","micael_a"
18,"sw","compte",NA,"micael_a"
19,"sw","cesse",NA,"micael_a"
20,"sw","bille",NA,"micael_a"
21,"sw","maîtresse",NA,"micael_a"
22,"sw","piler",NA,"micael_a"
23,"sw","femme",NA,"micael_a"
24,"sw","parfum",NA,"micael_a"
25,"sw","doigt",NA,"micael_a"
26,"sw","lapin",NA,"micael_a"
27,"sw","linge","liN","micael_a"
28,"sw","coup",NA,"micael_a"
29,"sw","vers",NA,"micael_a"
30,"sw","volé",NA,"micael_a"
31,"sw","mars",NA,"micael_a"
32,"sw","frime",NA,"micael_a"
33,"sw","monsieur",NA,"micael_a"
34,"sw","jeunesse",NA,"micael_a"
35,"sw","marcherions",NA,"micael_a"
36,"sw","canton",NA,"micael_a"
37,"sw","tentait",NA,"micael_a"
38,"sw","cracher",NA,"micael_a"
39,"sw","crique",NA,"micael_a"
40,"sw","retrouverez",NA,"micael_a"
41,"sw","suave",NA,"micael_a"
42,"sw","près",NA,"micael_a"
43,"sw","automne","otonom","micael_a"
44,"sw","client",NA,"micael_a"
45,"sw","soixante-dix",NA,"micael_a"
46,"sw","sien",NA,"micael_a"
47,"sw","rond",NA,"micael_a"
48,"sw","deux",NA,"micael_a"
49,"sw","pire",NA,"micael_a"
50,"sw","sens",NA,"micael_a"
51,"sw","rien",NA,"micael_a"
52,"sw","gare",NA,"micael_a"
53,"sw","chez",NA,"micael_a"
54,"sw","directeur",NA,"micael_a"
55,"sw","douzième",NA,"micael_a"
56,"sw","slave",NA,"micael_a"
57,"sw","pincera",NA,"micael_a"
58,"sw","montagne",NA,"micael_a"
59,"sw","igloo",NA,"micael_a"
60,"sw","rogner",NA,"micael_a"
61,"sw","fille",NA,"micael_a"
62,"sw","morte",NA,"micael_a"
63,"sw","paire",NA,"micael_a"
64,"sw","varie",NA,"micael_a"
65,"sw","cœur",NA,"micael_a"
66,"sw","chandail","S@dEl","micael_a"
67,"sw","magner",NA,"micael_a"
68,"sw","mais",NA,"micael_a"
69,"sw","ruse","ryze","micael_a"
70,"sw","rasé",NA,"micael_a"
71,"sw","album",NA,"micael_a"
72,"sw","glisserai",NA,"micael_a"
73,"sw","qui",NA,"micael_a"
74,"sw","partons",NA,"micael_a"
75,"sw","rebondirons",NA,"micael_a"
76,"sw","librairie",NA,"micael_a"
77,"sw","voilent",NA,"micael_a"
78,"sw","roue",NA,"micael_a"
79,"sw","case","kas","micael_a"
80,"sw","prie",NA,"micael_a"
81,"sw","mois",NA,"micael_a"
82,"sw","dans",NA,"micael_a"
83,"sw","coule",NA,"micael_a"
84,"sw","poêle","pEl","micael_a"
85,"sw","saule",NA,"micael_a"
86,"sw","œil",NA,"micael_a"
87,"sw","tant",NA,"micael_a"
88,"sw","clamer",NA,"micael_a"
89,"sw","pensant",NA,"micael_a"
90,"sw","finie",NA,"micael_a"
91,"sw","poison",NA,"micael_a"
92,"sw","mairie",NA,"micael_a"
93,"sw","boulangerie",NA,"micael_a"
94,"sw","cousin",NA,"micael_a"
95,"sw","boulette",NA,"micael_a"
96,"sw","revolver","r*vole","micael_a"
97,"sw","grade",NA,"micael_a"
98,"sw","gens",NA,"micael_a"
99,"sw","porche",NA,"micael_a"
100,"sw","encore",NA,"micael_a"
101,"sw","les",NA,"micael_a"
102,"sw","sept",NA,"micael_a"
103,"sw","patrie",NA,"micael_a"
104,"sw","présent",NA,"micael_a"
105,"sw","six",NA,"micael_a"
106,"sw","teint",NA,"micael_a"
107,"sw","cirer",NA,"micael_a"
108,"sw","trier",NA,"micael_a"
109,"sw","asie","asi","micael_a"
110,"sw","cale",NA,"micael_a"
111,"sw","pipe",NA,"micael_a"
112,"sw","cinquante",NA,"micael_a"
113,"sw","ose","os","micael_a"
114,"sw","emmener",NA,"micael_a"
115,"sw","écrire",NA,"micael_a"
116,"sw","portrait",NA,"micael_a"
117,"sw","ration",NA,"micael_a"
118,"sw","savant",NA,"micael_a"
119,"sw","écho","eSo","micael_a"
120,"sw","aisance","Es@","micael_a"
121,"sw","crie",NA,"micael_a"
122,"sw","brise",NA,"micael_a"
123,"sw","trois",NA,"micael_a"
124,"sw","repartira",NA,"micael_a"
125,"sw","bon",NA,"micael_a"
126,"sw","ces",NA,"micael_a"
127,"sw","ail","El","micael_a"
128,"sw","délivrer",NA,"micael_a"
129,"sw","édition",NA,"micael_a"
130,"sw","larguer","larZe","micael_a"
131,"sw","caillou",NA,"micael_a"
132,"sw","pari",NA,"micael_a"
133,"sw","raie",NA,"micael_a"
134,"sw","loin",NA,"micael_a"
135,"sw","pale",NA,"micael_a"
136,"sw","poli",NA,"micael_a"
137,"sw","bain",NA,"micael_a"
138,"sw","lange",NA,"micael_a"
139,"sw","gars",NA,"micael_a"
140,"sw","long",NA,"micael_a"
141,"sw","renifle",NA,"micael_a"
142,"sw","chien",NA,"micael_a"
143,"sw","criant",NA,"micael_a"
