"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"omar_s"
2,"sw","onze",NA,"omar_s"
3,"sw","grand",NA,"omar_s"
4,"sw","race",NA,"omar_s"
5,"sw","rose",NA,"omar_s"
6,"sw","scie",NA,"omar_s"
7,"sw","base",NA,"omar_s"
8,"sw","orge",NA,"omar_s"
9,"sw","enfer",NA,"omar_s"
10,"sw","maire",NA,"omar_s"
11,"sw","chacun",NA,"omar_s"
12,"sw","signe",NA,"omar_s"
13,"sw","brun",NA,"omar_s"
14,"sw","congé",NA,"omar_s"
15,"sw","patient",NA,"omar_s"
16,"sw","payé",NA,"omar_s"
17,"sw","pantin",NA,"omar_s"
18,"sw","compte",NA,"omar_s"
19,"sw","cesse",NA,"omar_s"
20,"sw","bille",NA,"omar_s"
21,"sw","maîtresse",NA,"omar_s"
22,"sw","piler",NA,"omar_s"
23,"sw","femme",NA,"omar_s"
24,"sw","parfum",NA,"omar_s"
25,"sw","doigt",NA,"omar_s"
26,"sw","lapin",NA,"omar_s"
27,"sw","linge",NA,"omar_s"
28,"sw","coup",NA,"omar_s"
29,"sw","vers",NA,"omar_s"
30,"sw","volé",NA,"omar_s"
31,"sw","mars",NA,"omar_s"
32,"sw","frime",NA,"omar_s"
33,"sw","monsieur",NA,"omar_s"
34,"sw","jeunesse",NA,"omar_s"
35,"sw","marcherions",NA,"omar_s"
36,"sw","canton",NA,"omar_s"
37,"sw","tentait",NA,"omar_s"
38,"sw","cracher",NA,"omar_s"
39,"sw","crique",NA,"omar_s"
40,"sw","retrouverez",NA,"omar_s"
41,"sw","suave",NA,"omar_s"
42,"sw","près",NA,"omar_s"
43,"sw","automne",NA,"omar_s"
44,"sw","client",NA,"omar_s"
45,"sw","soixante-dix",NA,"omar_s"
46,"sw","sien",NA,"omar_s"
47,"sw","rond",NA,"omar_s"
48,"sw","deux",NA,"omar_s"
49,"sw","pire",NA,"omar_s"
50,"sw","sens",NA,"omar_s"
51,"sw","rien",NA,"omar_s"
52,"sw","gare",NA,"omar_s"
53,"sw","chez",NA,"omar_s"
54,"sw","directeur",NA,"omar_s"
55,"sw","douzième",NA,"omar_s"
56,"sw","slave",NA,"omar_s"
57,"sw","pincera",NA,"omar_s"
58,"sw","montagne",NA,"omar_s"
59,"sw","igloo",NA,"omar_s"
60,"sw","rogner",NA,"omar_s"
61,"sw","fille",NA,"omar_s"
62,"sw","morte",NA,"omar_s"
63,"sw","paire",NA,"omar_s"
64,"sw","varie",NA,"omar_s"
65,"sw","cœur",NA,"omar_s"
66,"sw","chandail",NA,"omar_s"
67,"sw","magner",NA,"omar_s"
68,"sw","mais",NA,"omar_s"
69,"sw","ruse",NA,"omar_s"
70,"sw","rasé",NA,"omar_s"
71,"sw","album",NA,"omar_s"
72,"sw","glisserai",NA,"omar_s"
73,"sw","qui",NA,"omar_s"
74,"sw","partons",NA,"omar_s"
75,"sw","rebondirons",NA,"omar_s"
76,"sw","librairie",NA,"omar_s"
77,"sw","voilent",NA,"omar_s"
78,"sw","roue",NA,"omar_s"
79,"sw","case","kas","omar_s"
80,"sw","prie",NA,"omar_s"
81,"sw","mois",NA,"omar_s"
82,"sw","dans",NA,"omar_s"
83,"sw","coule",NA,"omar_s"
84,"sw","poêle",NA,"omar_s"
85,"sw","saule",NA,"omar_s"
86,"sw","œil",NA,"omar_s"
87,"sw","tant",NA,"omar_s"
88,"sw","clamer",NA,"omar_s"
89,"sw","pensant",NA,"omar_s"
90,"sw","finie",NA,"omar_s"
91,"sw","poison","pwas§","omar_s"
92,"sw","mairie",NA,"omar_s"
93,"sw","boulangerie",NA,"omar_s"
94,"sw","cousin",NA,"omar_s"
95,"sw","boulette",NA,"omar_s"
96,"sw","revolver",NA,"omar_s"
97,"sw","grade",NA,"omar_s"
98,"sw","gens",NA,"omar_s"
99,"sw","porche",NA,"omar_s"
100,"sw","encore",NA,"omar_s"
101,"sw","les",NA,"omar_s"
102,"sw","sept",NA,"omar_s"
103,"sw","patrie",NA,"omar_s"
104,"sw","présent",NA,"omar_s"
105,"sw","six",NA,"omar_s"
106,"sw","teint",NA,"omar_s"
107,"sw","cirer",NA,"omar_s"
108,"sw","trier",NA,"omar_s"
109,"sw","asie",NA,"omar_s"
110,"sw","cale",NA,"omar_s"
111,"sw","pipe",NA,"omar_s"
112,"sw","cinquante",NA,"omar_s"
113,"sw","ose","oze","omar_s"
114,"sw","emmener",NA,"omar_s"
115,"sw","écrire",NA,"omar_s"
116,"sw","portrait",NA,"omar_s"
117,"sw","ration",NA,"omar_s"
118,"sw","savant",NA,"omar_s"
119,"sw","écho",NA,"omar_s"
120,"sw","aisance","es@s","omar_s"
121,"sw","crie",NA,"omar_s"
122,"sw","brise",NA,"omar_s"
123,"sw","trois",NA,"omar_s"
124,"sw","repartira",NA,"omar_s"
125,"sw","bon",NA,"omar_s"
126,"sw","ces",NA,"omar_s"
127,"sw","ail",NA,"omar_s"
128,"sw","délivrer",NA,"omar_s"
129,"sw","édition",NA,"omar_s"
130,"sw","larguer",NA,"omar_s"
131,"sw","caillou",NA,"omar_s"
132,"sw","pari",NA,"omar_s"
133,"sw","raie",NA,"omar_s"
134,"sw","loin",NA,"omar_s"
135,"sw","pale",NA,"omar_s"
136,"sw","poli",NA,"omar_s"
137,"sw","bain",NA,"omar_s"
138,"sw","lange",NA,"omar_s"
139,"sw","gars","gar","omar_s"
140,"sw","long",NA,"omar_s"
141,"sw","renifle",NA,"omar_s"
142,"sw","chien",NA,"omar_s"
143,"sw","criant",NA,"omar_s"
144,"sw","agile",NA,"omar_s"
145,"sw","lueur",NA,"omar_s"
146,"sw","baiser","bese","omar_s"
147,"sw","galet",NA,"omar_s"
148,"sw","placer",NA,"omar_s"
149,"sw","fiable",NA,"omar_s"
150,"sw","désert",NA,"omar_s"
151,"sw","aspect",NA,"omar_s"
152,"sw","étiole",NA,"omar_s"
153,"sw","accident",NA,"omar_s"
154,"sw","quatorze",NA,"omar_s"
155,"sw","oignon",NA,"omar_s"
156,"sw","trot",NA,"omar_s"
157,"sw","pourquoi",NA,"omar_s"
158,"sw","dix",NA,"omar_s"
159,"sw","geler",NA,"omar_s"
160,"sw","pelure",NA,"omar_s"
161,"sw","calque",NA,"omar_s"
