"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"raya_h"
2,"sw","onze",NA,"raya_h"
3,"sw","grand",NA,"raya_h"
4,"sw","race",NA,"raya_h"
5,"sw","rose",NA,"raya_h"
6,"sw","scie",NA,"raya_h"
7,"sw","base",NA,"raya_h"
8,"sw","orge",NA,"raya_h"
9,"sw","enfer",NA,"raya_h"
10,"sw","maire",NA,"raya_h"
11,"sw","chacun",NA,"raya_h"
12,"sw","signe",NA,"raya_h"
13,"sw","brun",NA,"raya_h"
14,"sw","congé",NA,"raya_h"
15,"sw","patient",NA,"raya_h"
16,"sw","payé",NA,"raya_h"
17,"sw","pantin",NA,"raya_h"
18,"sw","compte",NA,"raya_h"
19,"sw","cesse",NA,"raya_h"
20,"sw","bille",NA,"raya_h"
21,"sw","maîtresse",NA,"raya_h"
22,"sw","piler",NA,"raya_h"
23,"sw","femme",NA,"raya_h"
24,"sw","parfum",NA,"raya_h"
25,"sw","doigt",NA,"raya_h"
26,"sw","lapin",NA,"raya_h"
27,"sw","linge",NA,"raya_h"
28,"sw","coup",NA,"raya_h"
29,"sw","vers",NA,"raya_h"
30,"sw","volé",NA,"raya_h"
31,"sw","mars",NA,"raya_h"
32,"sw","frime",NA,"raya_h"
33,"sw","monsieur",NA,"raya_h"
34,"sw","jeunesse",NA,"raya_h"
35,"sw","marcherions",NA,"raya_h"
36,"sw","canton",NA,"raya_h"
37,"sw","tentait",NA,"raya_h"
38,"sw","cracher",NA,"raya_h"
39,"sw","crique",NA,"raya_h"
40,"sw","retrouverez",NA,"raya_h"
41,"sw","suave",NA,"raya_h"
42,"sw","près",NA,"raya_h"
43,"sw","automne",NA,"raya_h"
44,"sw","client",NA,"raya_h"
45,"sw","soixante-dix",NA,"raya_h"
46,"sw","sien",NA,"raya_h"
47,"sw","rond",NA,"raya_h"
48,"sw","deux",NA,"raya_h"
49,"sw","pire",NA,"raya_h"
50,"sw","sens",NA,"raya_h"
51,"sw","rien",NA,"raya_h"
52,"sw","gare",NA,"raya_h"
53,"sw","chez",NA,"raya_h"
54,"sw","directeur",NA,"raya_h"
55,"sw","douzième",NA,"raya_h"
56,"sw","slave",NA,"raya_h"
57,"sw","pincera",NA,"raya_h"
58,"sw","montagne",NA,"raya_h"
59,"sw","igloo",NA,"raya_h"
60,"sw","rogner",NA,"raya_h"
61,"sw","fille",NA,"raya_h"
62,"sw","morte",NA,"raya_h"
63,"sw","paire",NA,"raya_h"
64,"sw","varie",NA,"raya_h"
65,"sw","cœur",NA,"raya_h"
66,"sw","chandail",NA,"raya_h"
67,"sw","magner",NA,"raya_h"
68,"sw","mais",NA,"raya_h"
69,"sw","ruse",NA,"raya_h"
70,"sw","rasé",NA,"raya_h"
71,"sw","album",NA,"raya_h"
72,"sw","glisserai",NA,"raya_h"
73,"sw","qui",NA,"raya_h"
74,"sw","partons",NA,"raya_h"
75,"sw","rebondirons",NA,"raya_h"
76,"sw","librairie",NA,"raya_h"
77,"sw","voilent",NA,"raya_h"
