"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"romain_b"
2,"sw","onze",NA,"romain_b"
3,"sw","grand",NA,"romain_b"
4,"sw","race",NA,"romain_b"
5,"sw","rose",NA,"romain_b"
6,"sw","scie",NA,"romain_b"
7,"sw","base",NA,"romain_b"
8,"sw","orge",NA,"romain_b"
9,"sw","enfer",NA,"romain_b"
10,"sw","maire",NA,"romain_b"
11,"sw","chacun",NA,"romain_b"
12,"sw","signe",NA,"romain_b"
13,"sw","brun",NA,"romain_b"
14,"sw","congé",NA,"romain_b"
15,"sw","patient",NA,"romain_b"
16,"sw","payé",NA,"romain_b"
17,"sw","pantin",NA,"romain_b"
18,"sw","compte",NA,"romain_b"
19,"sw","cesse",NA,"romain_b"
20,"sw","bille",NA,"romain_b"
21,"sw","maîtresse",NA,"romain_b"
22,"sw","piler",NA,"romain_b"
23,"sw","femme",NA,"romain_b"
24,"sw","parfum",NA,"romain_b"
25,"sw","doigt",NA,"romain_b"
26,"sw","lapin",NA,"romain_b"
27,"sw","linge",NA,"romain_b"
28,"sw","coup",NA,"romain_b"
29,"sw","vers",NA,"romain_b"
30,"sw","volé",NA,"romain_b"
31,"sw","mars",NA,"romain_b"
32,"sw","frime",NA,"romain_b"
33,"sw","monsieur",NA,"romain_b"
34,"sw","jeunesse",NA,"romain_b"
35,"sw","marcherions",NA,"romain_b"
36,"sw","canton",NA,"romain_b"
37,"sw","tentait",NA,"romain_b"
38,"sw","cracher",NA,"romain_b"
39,"sw","crique",NA,"romain_b"
40,"sw","retrouverez","r*truve","romain_b"
41,"sw","suave",NA,"romain_b"
42,"sw","près",NA,"romain_b"
43,"sw","automne",NA,"romain_b"
44,"sw","client",NA,"romain_b"
45,"sw","soixante-dix",NA,"romain_b"
46,"sw","sien",NA,"romain_b"
47,"sw","rond",NA,"romain_b"
48,"sw","deux",NA,"romain_b"
49,"sw","pire",NA,"romain_b"
50,"sw","sens",NA,"romain_b"
51,"sw","rien",NA,"romain_b"
52,"sw","gare",NA,"romain_b"
53,"sw","chez",NA,"romain_b"
54,"sw","directeur",NA,"romain_b"
55,"sw","douzième",NA,"romain_b"
56,"sw","slave",NA,"romain_b"
57,"sw","pincera",NA,"romain_b"
58,"sw","montagne",NA,"romain_b"
59,"sw","igloo",NA,"romain_b"
60,"sw","rogner",NA,"romain_b"
61,"sw","fille",NA,"romain_b"
62,"sw","morte",NA,"romain_b"
63,"sw","paire",NA,"romain_b"
64,"sw","varie",NA,"romain_b"
65,"sw","cœur",NA,"romain_b"
66,"sw","chandail","S@dEl","romain_b"
67,"sw","magner",NA,"romain_b"
68,"sw","mais",NA,"romain_b"
69,"sw","ruse",NA,"romain_b"
70,"sw","rasé",NA,"romain_b"
71,"sw","album",NA,"romain_b"
72,"sw","glisserai",NA,"romain_b"
73,"sw","qui",NA,"romain_b"
74,"sw","partons",NA,"romain_b"
75,"sw","rebondirons",NA,"romain_b"
76,"sw","librairie",NA,"romain_b"
77,"sw","voilent",NA,"romain_b"
78,"sw","roue",NA,"romain_b"
79,"sw","case",NA,"romain_b"
80,"sw","prie",NA,"romain_b"
