"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"roni_a"
2,"sw","onze",NA,"roni_a"
3,"sw","grand",NA,"roni_a"
4,"sw","race",NA,"roni_a"
5,"sw","rose",NA,"roni_a"
6,"sw","scie",NA,"roni_a"
7,"sw","base",NA,"roni_a"
8,"sw","orge","org","roni_a"
9,"sw","enfer",NA,"roni_a"
10,"sw","maire",NA,"roni_a"
11,"sw","chacun",NA,"roni_a"
12,"sw","signe","s5Z","roni_a"
13,"sw","brun","bryn","roni_a"
14,"sw","congé",NA,"roni_a"
15,"sw","patient",NA,"roni_a"
16,"sw","payé",NA,"roni_a"
17,"sw","pantin","pat5","roni_a"
18,"sw","compte",NA,"roni_a"
19,"sw","cesse",NA,"roni_a"
20,"sw","bille","pil","roni_a"
21,"sw","maîtresse",NA,"roni_a"
22,"sw","piler",NA,"roni_a"
23,"sw","femme",NA,"roni_a"
24,"sw","parfum",NA,"roni_a"
25,"sw","doigt",NA,"roni_a"
26,"sw","lapin",NA,"roni_a"
27,"sw","linge",NA,"roni_a"
28,"sw","coup",NA,"roni_a"
29,"sw","vers",NA,"roni_a"
30,"sw","volé",NA,"roni_a"
31,"sw","mars","mar","roni_a"
32,"sw","frime",NA,"roni_a"
33,"sw","monsieur",NA,"roni_a"
34,"sw","jeunesse",NA,"roni_a"
35,"sw","marcherions","marS*rinos","roni_a"
36,"sw","canton",NA,"roni_a"
37,"sw","tentait",NA,"roni_a"
38,"sw","cracher",NA,"roni_a"
39,"sw","crique","sirk","roni_a"
40,"sw","retrouverez","r*truvEr","roni_a"
41,"sw","suave","sov","roni_a"
42,"sw","près",NA,"roni_a"
43,"sw","automne","otom","roni_a"
44,"sw","client",NA,"roni_a"
45,"sw","soixante-dix",NA,"roni_a"
46,"sw","sien","sj@","roni_a"
47,"sw","rond",NA,"roni_a"
48,"sw","deux",NA,"roni_a"
49,"sw","pire",NA,"roni_a"
50,"sw","sens",NA,"roni_a"
51,"sw","rien",NA,"roni_a"
52,"sw","gare",NA,"roni_a"
53,"sw","chez",NA,"roni_a"
54,"sw","directeur",NA,"roni_a"
55,"sw","douzième",NA,"roni_a"
56,"sw","slave",NA,"roni_a"
57,"sw","pincera","p§sera","roni_a"
58,"sw","montagne",NA,"roni_a"
59,"sw","igloo","iglo","roni_a"
60,"sw","rogner","r§Z*r","roni_a"
61,"sw","fille",NA,"roni_a"
62,"sw","morte",NA,"roni_a"
63,"sw","paire",NA,"roni_a"
64,"sw","varie",NA,"roni_a"
65,"sw","cœur",NA,"roni_a"
66,"sw","chandail","S@dEl","roni_a"
67,"sw","magner","m@Ze","roni_a"
68,"sw","mais",NA,"roni_a"
69,"sw","ruse","rys","roni_a"
70,"sw","rasé",NA,"roni_a"
71,"sw","album",NA,"roni_a"
72,"sw","glisserai",NA,"roni_a"
73,"sw","qui",NA,"roni_a"
74,"sw","partons","pard§","roni_a"
75,"sw","rebondirons",NA,"roni_a"
76,"sw","librairie","libErE","roni_a"
77,"sw","voilent","vjol@","roni_a"
78,"sw","roue",NA,"roni_a"
79,"sw","case","kas","roni_a"
