"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"saifallah_m"
2,"sw","onze",NA,"saifallah_m"
3,"sw","grand",NA,"saifallah_m"
4,"sw","race",NA,"saifallah_m"
5,"sw","rose",NA,"saifallah_m"
6,"sw","scie",NA,"saifallah_m"
7,"sw","base",NA,"saifallah_m"
8,"sw","orge","ogr","saifallah_m"
9,"sw","enfer",NA,"saifallah_m"
10,"sw","maire",NA,"saifallah_m"
11,"sw","chacun",NA,"saifallah_m"
12,"sw","signe",NA,"saifallah_m"
13,"sw","brun",NA,"saifallah_m"
14,"sw","congé",NA,"saifallah_m"
15,"sw","patient","pasj@s","saifallah_m"
16,"sw","payé",NA,"saifallah_m"
17,"sw","pantin","pat5","saifallah_m"
18,"sw","compte",NA,"saifallah_m"
19,"sw","cesse",NA,"saifallah_m"
20,"sw","bille","pil","saifallah_m"
21,"sw","maîtresse",NA,"saifallah_m"
22,"sw","piler",NA,"saifallah_m"
23,"sw","femme",NA,"saifallah_m"
24,"sw","parfum",NA,"saifallah_m"
25,"sw","doigt",NA,"saifallah_m"
26,"sw","lapin",NA,"saifallah_m"
27,"sw","linge",NA,"saifallah_m"
28,"sw","coup",NA,"saifallah_m"
29,"sw","vers",NA,"saifallah_m"
30,"sw","volé",NA,"saifallah_m"
31,"sw","mars",NA,"saifallah_m"
32,"sw","frime",NA,"saifallah_m"
33,"sw","monsieur",NA,"saifallah_m"
34,"sw","jeunesse",NA,"saifallah_m"
35,"sw","marcherions","maSwar","saifallah_m"
36,"sw","canton",NA,"saifallah_m"
37,"sw","tentait",NA,"saifallah_m"
38,"sw","cracher","krake","saifallah_m"
39,"sw","crique",NA,"saifallah_m"
40,"sw","retrouverez",NA,"saifallah_m"
41,"sw","suave",NA,"saifallah_m"
42,"sw","près",NA,"saifallah_m"
43,"sw","automne",NA,"saifallah_m"
44,"sw","client",NA,"saifallah_m"
45,"sw","soixante-dix",NA,"saifallah_m"
46,"sw","sien","si","saifallah_m"
47,"sw","rond",NA,"saifallah_m"
48,"sw","deux",NA,"saifallah_m"
49,"sw","pire",NA,"saifallah_m"
50,"sw","sens",NA,"saifallah_m"
51,"sw","rien",NA,"saifallah_m"
52,"sw","gare",NA,"saifallah_m"
53,"sw","chez",NA,"saifallah_m"
54,"sw","directeur",NA,"saifallah_m"
55,"sw","douzième",NA,"saifallah_m"
56,"sw","slave",NA,"saifallah_m"
57,"sw","pincera",NA,"saifallah_m"
58,"sw","montagne",NA,"saifallah_m"
59,"sw","igloo",NA,"saifallah_m"
60,"sw","rogner",NA,"saifallah_m"
61,"sw","fille",NA,"saifallah_m"
62,"sw","morte",NA,"saifallah_m"
63,"sw","paire",NA,"saifallah_m"
64,"sw","varie",NA,"saifallah_m"
65,"sw","cœur",NA,"saifallah_m"
66,"sw","chandail",NA,"saifallah_m"
67,"sw","magner","m@Ze","saifallah_m"
68,"sw","mais",NA,"saifallah_m"
69,"sw","ruse",NA,"saifallah_m"
70,"sw","rasé",NA,"saifallah_m"
71,"sw","album",NA,"saifallah_m"
72,"sw","glisserai",NA,"saifallah_m"
73,"sw","qui",NA,"saifallah_m"
74,"sw","partons",NA,"saifallah_m"
75,"sw","rebondirons",NA,"saifallah_m"
76,"sw","librairie",NA,"saifallah_m"
77,"sw","voilent",NA,"saifallah_m"
78,"sw","roue",NA,"saifallah_m"
79,"sw","case",NA,"saifallah_m"
80,"sw","prie","pir","saifallah_m"
81,"sw","mois",NA,"saifallah_m"
82,"sw","dans",NA,"saifallah_m"
83,"sw","coule",NA,"saifallah_m"
84,"sw","poêle",NA,"saifallah_m"
85,"sw","saule","sul","saifallah_m"
86,"sw","œil",NA,"saifallah_m"
87,"sw","tant",NA,"saifallah_m"
88,"sw","clamer",NA,"saifallah_m"
89,"sw","pensant",NA,"saifallah_m"
90,"sw","finie",NA,"saifallah_m"
91,"sw","poison",NA,"saifallah_m"
92,"sw","mairie",NA,"saifallah_m"
93,"sw","boulangerie",NA,"saifallah_m"
94,"sw","cousin",NA,"saifallah_m"
95,"sw","boulette",NA,"saifallah_m"
96,"sw","revolver","r*volve","saifallah_m"
97,"sw","grade","gard","saifallah_m"
98,"sw","gens",NA,"saifallah_m"
99,"sw","porche","proS","saifallah_m"
100,"sw","encore",NA,"saifallah_m"
101,"sw","les",NA,"saifallah_m"
102,"sw","sept",NA,"saifallah_m"
103,"sw","patrie","parti","saifallah_m"
104,"sw","présent",NA,"saifallah_m"
105,"sw","six",NA,"saifallah_m"
106,"sw","teint",NA,"saifallah_m"
107,"sw","cirer",NA,"saifallah_m"
108,"sw","trier",NA,"saifallah_m"
109,"sw","asie",NA,"saifallah_m"
110,"sw","cale",NA,"saifallah_m"
111,"sw","pipe",NA,"saifallah_m"
112,"sw","cinquante",NA,"saifallah_m"
113,"sw","ose",NA,"saifallah_m"
114,"sw","emmener",NA,"saifallah_m"
115,"sw","écrire",NA,"saifallah_m"
116,"sw","portrait",NA,"saifallah_m"
117,"sw","ration",NA,"saifallah_m"
118,"sw","savant",NA,"saifallah_m"
119,"sw","écho","eSo","saifallah_m"
120,"sw","aisance",NA,"saifallah_m"
121,"sw","crie",NA,"saifallah_m"
122,"sw","brise",NA,"saifallah_m"
123,"sw","trois",NA,"saifallah_m"
124,"sw","repartira",NA,"saifallah_m"
125,"sw","bon",NA,"saifallah_m"
126,"sw","ces",NA,"saifallah_m"
127,"sw","ail","El","saifallah_m"
128,"sw","délivrer",NA,"saifallah_m"
129,"sw","édition",NA,"saifallah_m"
130,"sw","larguer",NA,"saifallah_m"
131,"sw","caillou",NA,"saifallah_m"
132,"sw","pari",NA,"saifallah_m"
133,"sw","raie",NA,"saifallah_m"
134,"sw","loin",NA,"saifallah_m"
135,"sw","pale",NA,"saifallah_m"
136,"sw","poli","pwal","saifallah_m"
137,"sw","bain",NA,"saifallah_m"
138,"sw","lange","lang","saifallah_m"
139,"sw","gars",NA,"saifallah_m"
140,"sw","long",NA,"saifallah_m"
141,"sw","renifle","r*nifle","saifallah_m"
142,"sw","chien",NA,"saifallah_m"
143,"sw","criant",NA,"saifallah_m"
144,"sw","agile",NA,"saifallah_m"
145,"sw","lueur","lue","saifallah_m"
146,"sw","baiser",NA,"saifallah_m"
147,"sw","galet",NA,"saifallah_m"
148,"sw","placer",NA,"saifallah_m"
149,"sw","fiable",NA,"saifallah_m"
150,"sw","désert",NA,"saifallah_m"
151,"sw","aspect",NA,"saifallah_m"
152,"sw","étiole",NA,"saifallah_m"
153,"sw","accident",NA,"saifallah_m"
154,"sw","quatorze",NA,"saifallah_m"
155,"sw","oignon",NA,"saifallah_m"
156,"sw","trot",NA,"saifallah_m"
157,"sw","pourquoi",NA,"saifallah_m"
