"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"sania_s"
2,"sw","onze",NA,"sania_s"
3,"sw","grand",NA,"sania_s"
4,"sw","race",NA,"sania_s"
5,"sw","rose",NA,"sania_s"
6,"sw","scie","ski","sania_s"
7,"sw","base",NA,"sania_s"
8,"sw","orge",NA,"sania_s"
9,"sw","enfer",NA,"sania_s"
10,"sw","maire",NA,"sania_s"
11,"sw","chacun",NA,"sania_s"
12,"sw","signe",NA,"sania_s"
13,"sw","brun",NA,"sania_s"
14,"sw","congé",NA,"sania_s"
15,"sw","patient",NA,"sania_s"
16,"sw","payé",NA,"sania_s"
17,"sw","pantin",NA,"sania_s"
18,"sw","compte",NA,"sania_s"
19,"sw","cesse",NA,"sania_s"
20,"sw","bille",NA,"sania_s"
21,"sw","maîtresse",NA,"sania_s"
22,"sw","piler",NA,"sania_s"
23,"sw","femme",NA,"sania_s"
24,"sw","parfum",NA,"sania_s"
25,"sw","doigt",NA,"sania_s"
26,"sw","lapin",NA,"sania_s"
27,"sw","linge",NA,"sania_s"
28,"sw","coup",NA,"sania_s"
29,"sw","vers",NA,"sania_s"
30,"sw","volé",NA,"sania_s"
31,"sw","mars",NA,"sania_s"
32,"sw","frime",NA,"sania_s"
33,"sw","monsieur",NA,"sania_s"
34,"sw","jeunesse",NA,"sania_s"
35,"sw","marcherions",NA,"sania_s"
36,"sw","canton","kat§","sania_s"
37,"sw","tentait",NA,"sania_s"
38,"sw","cracher",NA,"sania_s"
39,"sw","crique",NA,"sania_s"
40,"sw","retrouverez",NA,"sania_s"
41,"sw","suave",NA,"sania_s"
42,"sw","près",NA,"sania_s"
43,"sw","automne",NA,"sania_s"
44,"sw","client",NA,"sania_s"
45,"sw","soixante-dix",NA,"sania_s"
46,"sw","sien",NA,"sania_s"
47,"sw","rond",NA,"sania_s"
48,"sw","deux",NA,"sania_s"
49,"sw","pire",NA,"sania_s"
50,"sw","sens",NA,"sania_s"
51,"sw","rien",NA,"sania_s"
52,"sw","gare",NA,"sania_s"
53,"sw","chez",NA,"sania_s"
54,"sw","directeur",NA,"sania_s"
55,"sw","douzième",NA,"sania_s"
56,"sw","slave",NA,"sania_s"
57,"sw","pincera",NA,"sania_s"
58,"sw","montagne",NA,"sania_s"
59,"sw","igloo",NA,"sania_s"
60,"sw","rogner",NA,"sania_s"
61,"sw","fille",NA,"sania_s"
62,"sw","morte",NA,"sania_s"
63,"sw","paire",NA,"sania_s"
64,"sw","varie",NA,"sania_s"
65,"sw","cœur",NA,"sania_s"
66,"sw","chandail",NA,"sania_s"
67,"sw","magner",NA,"sania_s"
68,"sw","mais",NA,"sania_s"
69,"sw","ruse",NA,"sania_s"
70,"sw","rasé",NA,"sania_s"
71,"sw","album",NA,"sania_s"
72,"sw","glisserai",NA,"sania_s"
73,"sw","qui",NA,"sania_s"
74,"sw","partons",NA,"sania_s"
75,"sw","rebondirons",NA,"sania_s"
76,"sw","librairie",NA,"sania_s"
77,"sw","voilent","vwal@","sania_s"
78,"sw","roue",NA,"sania_s"
79,"sw","case",NA,"sania_s"
80,"sw","prie",NA,"sania_s"
81,"sw","mois",NA,"sania_s"
82,"sw","dans",NA,"sania_s"
83,"sw","coule",NA,"sania_s"
84,"sw","poêle","poEl","sania_s"
85,"sw","saule",NA,"sania_s"
86,"sw","œil",NA,"sania_s"
87,"sw","tant",NA,"sania_s"
88,"sw","clamer",NA,"sania_s"
89,"sw","pensant",NA,"sania_s"
90,"sw","finie",NA,"sania_s"
91,"sw","poison",NA,"sania_s"
92,"sw","mairie",NA,"sania_s"
93,"sw","boulangerie",NA,"sania_s"
94,"sw","cousin",NA,"sania_s"
95,"sw","boulette",NA,"sania_s"
96,"sw","revolver",NA,"sania_s"
97,"sw","grade",NA,"sania_s"
98,"sw","gens",NA,"sania_s"
99,"sw","porche",NA,"sania_s"
100,"sw","encore",NA,"sania_s"
101,"sw","les",NA,"sania_s"
102,"sw","sept",NA,"sania_s"
103,"sw","patrie",NA,"sania_s"
104,"sw","présent",NA,"sania_s"
105,"sw","six",NA,"sania_s"
106,"sw","teint",NA,"sania_s"
107,"sw","cirer",NA,"sania_s"
108,"sw","trier",NA,"sania_s"
109,"sw","asie",NA,"sania_s"
110,"sw","cale",NA,"sania_s"
111,"sw","pipe",NA,"sania_s"
112,"sw","cinquante",NA,"sania_s"
113,"sw","ose",NA,"sania_s"
114,"sw","emmener",NA,"sania_s"
115,"sw","écrire",NA,"sania_s"
