"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"sarah_im"
2,"sw","onze",NA,"sarah_im"
3,"sw","grand",NA,"sarah_im"
4,"sw","race",NA,"sarah_im"
5,"sw","rose",NA,"sarah_im"
6,"sw","scie",NA,"sarah_im"
7,"sw","base",NA,"sarah_im"
8,"sw","orge",NA,"sarah_im"
9,"sw","enfer",NA,"sarah_im"
10,"sw","maire",NA,"sarah_im"
11,"sw","chacun",NA,"sarah_im"
12,"sw","signe",NA,"sarah_im"
13,"sw","brun",NA,"sarah_im"
14,"sw","congé",NA,"sarah_im"
15,"sw","patient",NA,"sarah_im"
16,"sw","payé",NA,"sarah_im"
17,"sw","pantin",NA,"sarah_im"
18,"sw","compte",NA,"sarah_im"
19,"sw","cesse",NA,"sarah_im"
20,"sw","bille","bil","sarah_im"
21,"sw","maîtresse",NA,"sarah_im"
22,"sw","piler",NA,"sarah_im"
23,"sw","femme",NA,"sarah_im"
24,"sw","parfum",NA,"sarah_im"
25,"sw","doigt",NA,"sarah_im"
26,"sw","lapin",NA,"sarah_im"
27,"sw","linge","ling","sarah_im"
28,"sw","coup",NA,"sarah_im"
29,"sw","vers",NA,"sarah_im"
30,"sw","volé",NA,"sarah_im"
31,"sw","mars",NA,"sarah_im"
32,"sw","frime",NA,"sarah_im"
33,"sw","monsieur",NA,"sarah_im"
34,"sw","jeunesse",NA,"sarah_im"
35,"sw","marcherions","marS*r§","sarah_im"
36,"sw","canton",NA,"sarah_im"
37,"sw","tentait",NA,"sarah_im"
38,"sw","cracher",NA,"sarah_im"
39,"sw","crique",NA,"sarah_im"
40,"sw","retrouverez",NA,"sarah_im"
41,"sw","suave",NA,"sarah_im"
42,"sw","près",NA,"sarah_im"
43,"sw","automne",NA,"sarah_im"
44,"sw","client",NA,"sarah_im"
45,"sw","soixante-dix",NA,"sarah_im"
46,"sw","sien","si@","sarah_im"
47,"sw","rond",NA,"sarah_im"
48,"sw","deux",NA,"sarah_im"
49,"sw","pire",NA,"sarah_im"
50,"sw","sens",NA,"sarah_im"
51,"sw","rien",NA,"sarah_im"
52,"sw","gare",NA,"sarah_im"
53,"sw","chez",NA,"sarah_im"
54,"sw","directeur",NA,"sarah_im"
55,"sw","douzième",NA,"sarah_im"
56,"sw","slave",NA,"sarah_im"
57,"sw","pincera",NA,"sarah_im"
58,"sw","montagne",NA,"sarah_im"
59,"sw","igloo","iglo","sarah_im"
60,"sw","rogner",NA,"sarah_im"
61,"sw","fille",NA,"sarah_im"
62,"sw","morte",NA,"sarah_im"
63,"sw","paire",NA,"sarah_im"
64,"sw","varie",NA,"sarah_im"
65,"sw","cœur",NA,"sarah_im"
66,"sw","chandail","S@dEl","sarah_im"
67,"sw","magner",NA,"sarah_im"
68,"sw","mais",NA,"sarah_im"
69,"sw","ruse",NA,"sarah_im"
70,"sw","rasé",NA,"sarah_im"
71,"sw","album",NA,"sarah_im"
72,"sw","glisserai",NA,"sarah_im"
73,"sw","qui",NA,"sarah_im"
74,"sw","partons",NA,"sarah_im"
75,"sw","rebondirons",NA,"sarah_im"
76,"sw","librairie",NA,"sarah_im"
77,"sw","voilent","viol@","sarah_im"
78,"sw","roue",NA,"sarah_im"
79,"sw","case","kas","sarah_im"
80,"sw","prie",NA,"sarah_im"
81,"sw","mois",NA,"sarah_im"
82,"sw","dans",NA,"sarah_im"
83,"sw","coule",NA,"sarah_im"
84,"sw","poêle","poEl","sarah_im"
85,"sw","saule",NA,"sarah_im"
86,"sw","œil",NA,"sarah_im"
87,"sw","tant",NA,"sarah_im"
88,"sw","clamer",NA,"sarah_im"
89,"sw","pensant","p@se","sarah_im"
90,"sw","finie",NA,"sarah_im"
91,"sw","poison","pwas§","sarah_im"
92,"sw","mairie",NA,"sarah_im"
93,"sw","boulangerie",NA,"sarah_im"
94,"sw","cousin",NA,"sarah_im"
95,"sw","boulette",NA,"sarah_im"
96,"sw","revolver",NA,"sarah_im"
97,"sw","grade",NA,"sarah_im"
98,"sw","gens",NA,"sarah_im"
99,"sw","porche",NA,"sarah_im"
100,"sw","encore",NA,"sarah_im"
101,"sw","les",NA,"sarah_im"
102,"sw","sept",NA,"sarah_im"
103,"sw","patrie",NA,"sarah_im"
104,"sw","présent",NA,"sarah_im"
105,"sw","six",NA,"sarah_im"
106,"sw","teint",NA,"sarah_im"
107,"sw","cirer",NA,"sarah_im"
108,"sw","trier",NA,"sarah_im"
109,"sw","asie","asi","sarah_im"
110,"sw","cale",NA,"sarah_im"
111,"sw","pipe",NA,"sarah_im"
112,"sw","cinquante",NA,"sarah_im"
113,"sw","ose",NA,"sarah_im"
114,"sw","emmener",NA,"sarah_im"
115,"sw","écrire","ekri","sarah_im"
116,"sw","portrait",NA,"sarah_im"
117,"sw","ration",NA,"sarah_im"
118,"sw","savant",NA,"sarah_im"
119,"sw","écho",NA,"sarah_im"
120,"sw","aisance","as@s","sarah_im"
121,"sw","crie",NA,"sarah_im"
122,"sw","brise",NA,"sarah_im"
123,"sw","trois",NA,"sarah_im"
124,"sw","repartira",NA,"sarah_im"
125,"sw","bon",NA,"sarah_im"
126,"sw","ces",NA,"sarah_im"
127,"sw","ail","al","sarah_im"
128,"sw","délivrer",NA,"sarah_im"
129,"sw","édition",NA,"sarah_im"
130,"sw","larguer","l@ge","sarah_im"
131,"sw","caillou",NA,"sarah_im"
132,"sw","pari","papi","sarah_im"
133,"sw","raie",NA,"sarah_im"
134,"sw","loin",NA,"sarah_im"
135,"sw","pale",NA,"sarah_im"
136,"sw","poli",NA,"sarah_im"
137,"sw","bain",NA,"sarah_im"
138,"sw","lange",NA,"sarah_im"
139,"sw","gars",NA,"sarah_im"
140,"sw","long",NA,"sarah_im"
141,"sw","renifle","r*nifle","sarah_im"
142,"sw","chien",NA,"sarah_im"
143,"sw","criant",NA,"sarah_im"
144,"sw","agile",NA,"sarah_im"
145,"sw","lueur",NA,"sarah_im"
146,"sw","baiser",NA,"sarah_im"
147,"sw","galet",NA,"sarah_im"
148,"sw","placer",NA,"sarah_im"
149,"sw","fiable",NA,"sarah_im"
150,"sw","désert",NA,"sarah_im"
151,"sw","aspect",NA,"sarah_im"
152,"sw","étiole",NA,"sarah_im"
153,"sw","accident",NA,"sarah_im"
154,"sw","quatorze",NA,"sarah_im"
155,"sw","oignon",NA,"sarah_im"
156,"sw","trot",NA,"sarah_im"
157,"sw","pourquoi",NA,"sarah_im"
158,"sw","dix",NA,"sarah_im"
159,"sw","geler",NA,"sarah_im"
160,"sw","pelure",NA,"sarah_im"
161,"sw","calque",NA,"sarah_im"
