"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"solkem_n"
2,"sw","onze",NA,"solkem_n"
3,"sw","grand",NA,"solkem_n"
4,"sw","race",NA,"solkem_n"
5,"sw","rose",NA,"solkem_n"
6,"sw","scie",NA,"solkem_n"
7,"sw","base","bas","solkem_n"
8,"sw","orge","org","solkem_n"
9,"sw","enfer",NA,"solkem_n"
10,"sw","maire",NA,"solkem_n"
11,"sw","chacun",NA,"solkem_n"
12,"sw","signe",NA,"solkem_n"
13,"sw","brun",NA,"solkem_n"
14,"sw","congé",NA,"solkem_n"
15,"sw","patient",NA,"solkem_n"
16,"sw","payé",NA,"solkem_n"
17,"sw","pantin",NA,"solkem_n"
18,"sw","compte",NA,"solkem_n"
19,"sw","cesse",NA,"solkem_n"
20,"sw","bille","bije","solkem_n"
21,"sw","maîtresse",NA,"solkem_n"
22,"sw","piler","plije","solkem_n"
23,"sw","femme",NA,"solkem_n"
24,"sw","parfum",NA,"solkem_n"
25,"sw","doigt",NA,"solkem_n"
26,"sw","lapin",NA,"solkem_n"
27,"sw","linge","liN","solkem_n"
28,"sw","coup","kup","solkem_n"
29,"sw","vers",NA,"solkem_n"
30,"sw","volé",NA,"solkem_n"
31,"sw","mars",NA,"solkem_n"
32,"sw","frime",NA,"solkem_n"
33,"sw","monsieur",NA,"solkem_n"
34,"sw","jeunesse",NA,"solkem_n"
35,"sw","marcherions","marS§","solkem_n"
36,"sw","canton",NA,"solkem_n"
37,"sw","tentait",NA,"solkem_n"
38,"sw","cracher",NA,"solkem_n"
39,"sw","crique","sirk","solkem_n"
40,"sw","retrouverez","r*truve","solkem_n"
41,"sw","suave","syave","solkem_n"
42,"sw","près",NA,"solkem_n"
43,"sw","automne",NA,"solkem_n"
44,"sw","client",NA,"solkem_n"
45,"sw","soixante-dix",NA,"solkem_n"
46,"sw","sien","sj@","solkem_n"
47,"sw","rond",NA,"solkem_n"
48,"sw","deux",NA,"solkem_n"
49,"sw","pire",NA,"solkem_n"
50,"sw","sens",NA,"solkem_n"
51,"sw","rien",NA,"solkem_n"
52,"sw","gare",NA,"solkem_n"
53,"sw","chez",NA,"solkem_n"
54,"sw","directeur",NA,"solkem_n"
55,"sw","douzième",NA,"solkem_n"
56,"sw","slave","salv","solkem_n"
57,"sw","pincera",NA,"solkem_n"
58,"sw","montagne",NA,"solkem_n"
59,"sw","igloo",NA,"solkem_n"
60,"sw","rogner","roSe","solkem_n"
61,"sw","fille",NA,"solkem_n"
62,"sw","morte",NA,"solkem_n"
63,"sw","paire",NA,"solkem_n"
64,"sw","varie",NA,"solkem_n"
65,"sw","cœur",NA,"solkem_n"
66,"sw","chandail","S@dEl","solkem_n"
67,"sw","magner","m@Ze","solkem_n"
68,"sw","mais",NA,"solkem_n"
69,"sw","ruse","rys","solkem_n"
70,"sw","rasé",NA,"solkem_n"
71,"sw","album",NA,"solkem_n"
72,"sw","glisserai",NA,"solkem_n"
73,"sw","qui",NA,"solkem_n"
74,"sw","partons",NA,"solkem_n"
75,"sw","rebondirons","r*b§dir","solkem_n"
76,"sw","librairie","libEr*ri","solkem_n"
77,"sw","voilent","vwal@","solkem_n"
78,"sw","roue","rus","solkem_n"
79,"sw","case","kas","solkem_n"
80,"sw","prie",NA,"solkem_n"
81,"sw","mois",NA,"solkem_n"
82,"sw","dans",NA,"solkem_n"
83,"sw","coule",NA,"solkem_n"
84,"sw","poêle",NA,"solkem_n"
85,"sw","saule",NA,"solkem_n"
86,"sw","œil",NA,"solkem_n"
87,"sw","tant",NA,"solkem_n"
88,"sw","clamer","kalme","solkem_n"
89,"sw","pensant","p@s","solkem_n"
90,"sw","finie",NA,"solkem_n"
91,"sw","poison","pwas§","solkem_n"
92,"sw","mairie","mari","solkem_n"
93,"sw","boulangerie",NA,"solkem_n"
94,"sw","cousin",NA,"solkem_n"
95,"sw","boulette",NA,"solkem_n"
96,"sw","revolver","r*volve","solkem_n"
97,"sw","grade","gard","solkem_n"
98,"sw","gens",NA,"solkem_n"
99,"sw","porche","proS","solkem_n"
100,"sw","encore",NA,"solkem_n"
101,"sw","les",NA,"solkem_n"
102,"sw","sept",NA,"solkem_n"
103,"sw","patrie",NA,"solkem_n"
104,"sw","présent",NA,"solkem_n"
105,"sw","six",NA,"solkem_n"
106,"sw","teint",NA,"solkem_n"
107,"sw","cirer",NA,"solkem_n"
108,"sw","trier",NA,"solkem_n"
109,"sw","asie",NA,"solkem_n"
110,"sw","cale",NA,"solkem_n"
111,"sw","pipe",NA,"solkem_n"
112,"sw","cinquante",NA,"solkem_n"
113,"sw","ose",NA,"solkem_n"
114,"sw","emmener",NA,"solkem_n"
115,"sw","écrire",NA,"solkem_n"
116,"sw","portrait",NA,"solkem_n"
117,"sw","ration",NA,"solkem_n"
118,"sw","savant",NA,"solkem_n"
119,"sw","écho","eSo","solkem_n"
120,"sw","aisance","es@s","solkem_n"
121,"sw","crie",NA,"solkem_n"
122,"sw","brise",NA,"solkem_n"
123,"sw","trois",NA,"solkem_n"
124,"sw","repartira","r*partira","solkem_n"
125,"sw","bon",NA,"solkem_n"
126,"sw","ces",NA,"solkem_n"
127,"sw","ail",NA,"solkem_n"
128,"sw","délivrer",NA,"solkem_n"
129,"sw","édition",NA,"solkem_n"
130,"sw","larguer","lage","solkem_n"
131,"sw","caillou",NA,"solkem_n"
132,"sw","pari",NA,"solkem_n"
133,"sw","raie","raj","solkem_n"
134,"sw","loin",NA,"solkem_n"
135,"sw","pale",NA,"solkem_n"
136,"sw","poli",NA,"solkem_n"
137,"sw","bain",NA,"solkem_n"
138,"sw","lange",NA,"solkem_n"
139,"sw","gars",NA,"solkem_n"
140,"sw","long",NA,"solkem_n"
141,"sw","renifle",NA,"solkem_n"
142,"sw","chien",NA,"solkem_n"
143,"sw","criant",NA,"solkem_n"
144,"sw","agile","Egl","solkem_n"
145,"sw","lueur",NA,"solkem_n"
146,"sw","baiser","bese","solkem_n"
147,"sw","galet",NA,"solkem_n"
148,"sw","placer","plas","solkem_n"
149,"sw","fiable","fEbl","solkem_n"
150,"sw","désert","desEr","solkem_n"
151,"sw","aspect",NA,"solkem_n"
152,"sw","étiole","etwal","solkem_n"
153,"sw","accident",NA,"solkem_n"
154,"sw","quatorze",NA,"solkem_n"
155,"sw","oignon",NA,"solkem_n"
156,"sw","trot",NA,"solkem_n"
157,"sw","pourquoi",NA,"solkem_n"
158,"sw","dix",NA,"solkem_n"
159,"sw","geler","glE","solkem_n"
160,"sw","pelure",NA,"solkem_n"
161,"sw","calque",NA,"solkem_n"
