"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"thomas_s"
2,"sw","onze",NA,"thomas_s"
3,"sw","grand",NA,"thomas_s"
4,"sw","race",NA,"thomas_s"
5,"sw","rose",NA,"thomas_s"
6,"sw","scie",NA,"thomas_s"
7,"sw","base",NA,"thomas_s"
8,"sw","orge",NA,"thomas_s"
9,"sw","enfer",NA,"thomas_s"
10,"sw","maire",NA,"thomas_s"
11,"sw","chacun",NA,"thomas_s"
12,"sw","signe",NA,"thomas_s"
13,"sw","brun",NA,"thomas_s"
14,"sw","congé",NA,"thomas_s"
15,"sw","patient",NA,"thomas_s"
16,"sw","payé",NA,"thomas_s"
17,"sw","pantin",NA,"thomas_s"
18,"sw","compte",NA,"thomas_s"
19,"sw","cesse",NA,"thomas_s"
20,"sw","bille",NA,"thomas_s"
21,"sw","maîtresse",NA,"thomas_s"
22,"sw","piler",NA,"thomas_s"
23,"sw","femme",NA,"thomas_s"
24,"sw","parfum",NA,"thomas_s"
25,"sw","doigt",NA,"thomas_s"
26,"sw","lapin",NA,"thomas_s"
27,"sw","linge",NA,"thomas_s"
28,"sw","coup",NA,"thomas_s"
29,"sw","vers",NA,"thomas_s"
30,"sw","volé",NA,"thomas_s"
31,"sw","mars",NA,"thomas_s"
32,"sw","frime",NA,"thomas_s"
33,"sw","monsieur",NA,"thomas_s"
34,"sw","jeunesse",NA,"thomas_s"
35,"sw","marcherions",NA,"thomas_s"
36,"sw","canton",NA,"thomas_s"
37,"sw","tentait",NA,"thomas_s"
38,"sw","cracher",NA,"thomas_s"
39,"sw","crique",NA,"thomas_s"
40,"sw","retrouverez",NA,"thomas_s"
41,"sw","suave",NA,"thomas_s"
42,"sw","près",NA,"thomas_s"
43,"sw","automne",NA,"thomas_s"
44,"sw","client",NA,"thomas_s"
45,"sw","soixante-dix",NA,"thomas_s"
46,"sw","sien",NA,"thomas_s"
47,"sw","rond",NA,"thomas_s"
48,"sw","deux",NA,"thomas_s"
49,"sw","pire",NA,"thomas_s"
50,"sw","sens",NA,"thomas_s"
51,"sw","rien",NA,"thomas_s"
52,"sw","gare",NA,"thomas_s"
53,"sw","chez",NA,"thomas_s"
54,"sw","directeur",NA,"thomas_s"
55,"sw","douzième",NA,"thomas_s"
56,"sw","slave",NA,"thomas_s"
57,"sw","pincera",NA,"thomas_s"
58,"sw","montagne",NA,"thomas_s"
59,"sw","igloo",NA,"thomas_s"
60,"sw","rogner",NA,"thomas_s"
61,"sw","fille",NA,"thomas_s"
62,"sw","morte",NA,"thomas_s"
63,"sw","paire",NA,"thomas_s"
64,"sw","varie",NA,"thomas_s"
65,"sw","cœur",NA,"thomas_s"
66,"sw","chandail",NA,"thomas_s"
67,"sw","magner",NA,"thomas_s"
68,"sw","mais",NA,"thomas_s"
69,"sw","ruse",NA,"thomas_s"
70,"sw","rasé",NA,"thomas_s"
71,"sw","album","alb5","thomas_s"
72,"sw","glisserai",NA,"thomas_s"
73,"sw","qui",NA,"thomas_s"
74,"sw","partons",NA,"thomas_s"
75,"sw","rebondirons",NA,"thomas_s"
76,"sw","librairie",NA,"thomas_s"
77,"sw","voilent",NA,"thomas_s"
78,"sw","roue",NA,"thomas_s"
79,"sw","case",NA,"thomas_s"
80,"sw","prie",NA,"thomas_s"
81,"sw","mois",NA,"thomas_s"
82,"sw","dans",NA,"thomas_s"
83,"sw","coule",NA,"thomas_s"
84,"sw","poêle",NA,"thomas_s"
85,"sw","saule",NA,"thomas_s"
86,"sw","œil",NA,"thomas_s"
87,"sw","tant",NA,"thomas_s"
88,"sw","clamer",NA,"thomas_s"
89,"sw","pensant",NA,"thomas_s"
90,"sw","finie",NA,"thomas_s"
91,"sw","poison",NA,"thomas_s"
92,"sw","mairie",NA,"thomas_s"
93,"sw","boulangerie",NA,"thomas_s"
94,"sw","cousin",NA,"thomas_s"
95,"sw","boulette",NA,"thomas_s"
96,"sw","revolver",NA,"thomas_s"
97,"sw","grade",NA,"thomas_s"
98,"sw","gens",NA,"thomas_s"
99,"sw","porche",NA,"thomas_s"
100,"sw","encore",NA,"thomas_s"
101,"sw","les",NA,"thomas_s"
102,"sw","sept",NA,"thomas_s"
103,"sw","patrie",NA,"thomas_s"
104,"sw","présent",NA,"thomas_s"
105,"sw","six",NA,"thomas_s"
106,"sw","teint",NA,"thomas_s"
107,"sw","cirer",NA,"thomas_s"
108,"sw","trier","tire","thomas_s"
109,"sw","asie",NA,"thomas_s"
110,"sw","cale",NA,"thomas_s"
111,"sw","pipe",NA,"thomas_s"
112,"sw","cinquante",NA,"thomas_s"
113,"sw","ose",NA,"thomas_s"
114,"sw","emmener",NA,"thomas_s"
115,"sw","écrire",NA,"thomas_s"
116,"sw","portrait",NA,"thomas_s"
117,"sw","ration",NA,"thomas_s"
118,"sw","savant",NA,"thomas_s"
119,"sw","écho",NA,"thomas_s"
120,"sw","aisance",NA,"thomas_s"
121,"sw","crie",NA,"thomas_s"
122,"sw","brise",NA,"thomas_s"
123,"sw","trois",NA,"thomas_s"
124,"sw","repartira",NA,"thomas_s"
125,"sw","bon",NA,"thomas_s"
126,"sw","ces",NA,"thomas_s"
127,"sw","ail",NA,"thomas_s"
128,"sw","délivrer",NA,"thomas_s"
129,"sw","édition",NA,"thomas_s"
130,"sw","larguer",NA,"thomas_s"
131,"sw","caillou",NA,"thomas_s"
132,"sw","pari",NA,"thomas_s"
133,"sw","raie",NA,"thomas_s"
134,"sw","loin",NA,"thomas_s"
135,"sw","pale",NA,"thomas_s"
136,"sw","poli",NA,"thomas_s"
137,"sw","bain",NA,"thomas_s"
138,"sw","lange",NA,"thomas_s"
139,"sw","gars",NA,"thomas_s"
140,"sw","long",NA,"thomas_s"
141,"sw","renifle",NA,"thomas_s"
142,"sw","chien",NA,"thomas_s"
143,"sw","criant",NA,"thomas_s"
144,"sw","agile",NA,"thomas_s"
145,"sw","lueur",NA,"thomas_s"
146,"sw","baiser",NA,"thomas_s"
147,"sw","galet",NA,"thomas_s"
148,"sw","placer",NA,"thomas_s"
149,"sw","fiable",NA,"thomas_s"
150,"sw","désert",NA,"thomas_s"
151,"sw","aspect",NA,"thomas_s"
152,"sw","étiole",NA,"thomas_s"
153,"sw","accident",NA,"thomas_s"
154,"sw","quatorze",NA,"thomas_s"
155,"sw","oignon",NA,"thomas_s"
156,"sw","trot",NA,"thomas_s"
157,"sw","pourquoi",NA,"thomas_s"
158,"sw","dix",NA,"thomas_s"
159,"sw","geler",NA,"thomas_s"
160,"sw","pelure",NA,"thomas_s"
161,"sw","calque",NA,"thomas_s"
