"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"wiem_h"
2,"sw","onze",NA,"wiem_h"
3,"sw","grand",NA,"wiem_h"
4,"sw","race",NA,"wiem_h"
5,"sw","rose",NA,"wiem_h"
6,"sw","scie",NA,"wiem_h"
7,"sw","base",NA,"wiem_h"
8,"sw","orge",NA,"wiem_h"
9,"sw","enfer",NA,"wiem_h"
10,"sw","maire",NA,"wiem_h"
11,"sw","chacun",NA,"wiem_h"
12,"sw","signe",NA,"wiem_h"
13,"sw","brun",NA,"wiem_h"
14,"sw","congé",NA,"wiem_h"
15,"sw","patient",NA,"wiem_h"
16,"sw","payé",NA,"wiem_h"
17,"sw","pantin",NA,"wiem_h"
18,"sw","compte",NA,"wiem_h"
19,"sw","cesse",NA,"wiem_h"
20,"sw","bille",NA,"wiem_h"
21,"sw","maîtresse",NA,"wiem_h"
22,"sw","piler",NA,"wiem_h"
23,"sw","femme",NA,"wiem_h"
24,"sw","parfum",NA,"wiem_h"
25,"sw","doigt",NA,"wiem_h"
26,"sw","lapin",NA,"wiem_h"
27,"sw","linge",NA,"wiem_h"
28,"sw","coup",NA,"wiem_h"
29,"sw","vers",NA,"wiem_h"
30,"sw","volé",NA,"wiem_h"
31,"sw","mars",NA,"wiem_h"
32,"sw","frime",NA,"wiem_h"
33,"sw","monsieur",NA,"wiem_h"
34,"sw","jeunesse",NA,"wiem_h"
35,"sw","marcherions",NA,"wiem_h"
36,"sw","canton",NA,"wiem_h"
37,"sw","tentait",NA,"wiem_h"
38,"sw","cracher",NA,"wiem_h"
39,"sw","crique",NA,"wiem_h"
40,"sw","retrouverez",NA,"wiem_h"
41,"sw","suave","sav","wiem_h"
42,"sw","près",NA,"wiem_h"
43,"sw","automne",NA,"wiem_h"
44,"sw","client",NA,"wiem_h"
45,"sw","soixante-dix",NA,"wiem_h"
46,"sw","sien",NA,"wiem_h"
47,"sw","rond",NA,"wiem_h"
48,"sw","deux",NA,"wiem_h"
49,"sw","pire",NA,"wiem_h"
50,"sw","sens",NA,"wiem_h"
51,"sw","rien",NA,"wiem_h"
52,"sw","gare",NA,"wiem_h"
53,"sw","chez",NA,"wiem_h"
54,"sw","directeur",NA,"wiem_h"
55,"sw","douzième",NA,"wiem_h"
56,"sw","slave",NA,"wiem_h"
57,"sw","pincera",NA,"wiem_h"
58,"sw","montagne",NA,"wiem_h"
59,"sw","igloo",NA,"wiem_h"
60,"sw","rogner",NA,"wiem_h"
61,"sw","fille",NA,"wiem_h"
62,"sw","morte",NA,"wiem_h"
63,"sw","paire",NA,"wiem_h"
64,"sw","varie",NA,"wiem_h"
65,"sw","cœur",NA,"wiem_h"
66,"sw","chandail",NA,"wiem_h"
67,"sw","magner",NA,"wiem_h"
68,"sw","mais",NA,"wiem_h"
69,"sw","ruse","rys","wiem_h"
70,"sw","rasé",NA,"wiem_h"
71,"sw","album",NA,"wiem_h"
72,"sw","glisserai",NA,"wiem_h"
73,"sw","qui",NA,"wiem_h"
74,"sw","partons",NA,"wiem_h"
75,"sw","rebondirons",NA,"wiem_h"
76,"sw","librairie",NA,"wiem_h"
77,"sw","voilent",NA,"wiem_h"
78,"sw","roue",NA,"wiem_h"
79,"sw","case",NA,"wiem_h"
80,"sw","prie",NA,"wiem_h"
81,"sw","mois",NA,"wiem_h"
82,"sw","dans",NA,"wiem_h"
83,"sw","coule",NA,"wiem_h"
84,"sw","poêle",NA,"wiem_h"
85,"sw","saule",NA,"wiem_h"
86,"sw","œil",NA,"wiem_h"
87,"sw","tant",NA,"wiem_h"
88,"sw","clamer",NA,"wiem_h"
89,"sw","pensant",NA,"wiem_h"
90,"sw","finie",NA,"wiem_h"
91,"sw","poison","pwas§","wiem_h"
92,"sw","mairie",NA,"wiem_h"
93,"sw","boulangerie",NA,"wiem_h"
94,"sw","cousin",NA,"wiem_h"
95,"sw","boulette",NA,"wiem_h"
96,"sw","revolver",NA,"wiem_h"
97,"sw","grade",NA,"wiem_h"
98,"sw","gens",NA,"wiem_h"
99,"sw","porche",NA,"wiem_h"
100,"sw","encore",NA,"wiem_h"
101,"sw","les",NA,"wiem_h"
