"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"yannkevin_pnm"
2,"sw","onze",NA,"yannkevin_pnm"
3,"sw","grand",NA,"yannkevin_pnm"
4,"sw","race",NA,"yannkevin_pnm"
5,"sw","rose",NA,"yannkevin_pnm"
6,"sw","scie",NA,"yannkevin_pnm"
7,"sw","base",NA,"yannkevin_pnm"
8,"sw","orge",NA,"yannkevin_pnm"
9,"sw","enfer",NA,"yannkevin_pnm"
10,"sw","maire",NA,"yannkevin_pnm"
11,"sw","chacun",NA,"yannkevin_pnm"
12,"sw","signe",NA,"yannkevin_pnm"
13,"sw","brun",NA,"yannkevin_pnm"
14,"sw","congé",NA,"yannkevin_pnm"
15,"sw","patient",NA,"yannkevin_pnm"
16,"sw","payé",NA,"yannkevin_pnm"
17,"sw","pantin","pat5","yannkevin_pnm"
18,"sw","compte",NA,"yannkevin_pnm"
19,"sw","cesse",NA,"yannkevin_pnm"
20,"sw","bille",NA,"yannkevin_pnm"
21,"sw","maîtresse",NA,"yannkevin_pnm"
22,"sw","piler",NA,"yannkevin_pnm"
23,"sw","femme",NA,"yannkevin_pnm"
24,"sw","parfum",NA,"yannkevin_pnm"
25,"sw","doigt",NA,"yannkevin_pnm"
26,"sw","lapin",NA,"yannkevin_pnm"
27,"sw","linge",NA,"yannkevin_pnm"
28,"sw","coup",NA,"yannkevin_pnm"
29,"sw","vers",NA,"yannkevin_pnm"
30,"sw","volé",NA,"yannkevin_pnm"
31,"sw","mars",NA,"yannkevin_pnm"
32,"sw","frime",NA,"yannkevin_pnm"
33,"sw","monsieur",NA,"yannkevin_pnm"
34,"sw","jeunesse",NA,"yannkevin_pnm"
35,"sw","marcherions",NA,"yannkevin_pnm"
36,"sw","canton",NA,"yannkevin_pnm"
37,"sw","tentait",NA,"yannkevin_pnm"
38,"sw","cracher",NA,"yannkevin_pnm"
39,"sw","crique",NA,"yannkevin_pnm"
40,"sw","retrouverez",NA,"yannkevin_pnm"
41,"sw","suave",NA,"yannkevin_pnm"
42,"sw","près",NA,"yannkevin_pnm"
43,"sw","automne",NA,"yannkevin_pnm"
44,"sw","client",NA,"yannkevin_pnm"
45,"sw","soixante-dix",NA,"yannkevin_pnm"
46,"sw","sien",NA,"yannkevin_pnm"
47,"sw","rond",NA,"yannkevin_pnm"
48,"sw","deux",NA,"yannkevin_pnm"
49,"sw","pire",NA,"yannkevin_pnm"
50,"sw","sens",NA,"yannkevin_pnm"
51,"sw","rien",NA,"yannkevin_pnm"
