"order","test_id","word","response","subj_id"
1,"sw","fin",NA,"youssef_e"
2,"sw","onze",NA,"youssef_e"
3,"sw","grand",NA,"youssef_e"
4,"sw","race",NA,"youssef_e"
5,"sw","rose",NA,"youssef_e"
6,"sw","scie",NA,"youssef_e"
7,"sw","base",NA,"youssef_e"
8,"sw","orge",NA,"youssef_e"
9,"sw","enfer",NA,"youssef_e"
10,"sw","maire",NA,"youssef_e"
11,"sw","chacun",NA,"youssef_e"
12,"sw","signe",NA,"youssef_e"
13,"sw","brun",NA,"youssef_e"
14,"sw","congé",NA,"youssef_e"
15,"sw","patient",NA,"youssef_e"
16,"sw","payé",NA,"youssef_e"
17,"sw","pantin",NA,"youssef_e"
18,"sw","compte",NA,"youssef_e"
19,"sw","cesse",NA,"youssef_e"
20,"sw","bille",NA,"youssef_e"
21,"sw","maîtresse",NA,"youssef_e"
22,"sw","piler",NA,"youssef_e"
23,"sw","femme",NA,"youssef_e"
24,"sw","parfum",NA,"youssef_e"
25,"sw","doigt",NA,"youssef_e"
26,"sw","lapin",NA,"youssef_e"
27,"sw","linge",NA,"youssef_e"
28,"sw","coup",NA,"youssef_e"
29,"sw","vers",NA,"youssef_e"
30,"sw","volé",NA,"youssef_e"
31,"sw","mars",NA,"youssef_e"
32,"sw","frime",NA,"youssef_e"
33,"sw","monsieur",NA,"youssef_e"
34,"sw","jeunesse",NA,"youssef_e"
35,"sw","marcherions",NA,"youssef_e"
36,"sw","canton",NA,"youssef_e"
37,"sw","tentait",NA,"youssef_e"
38,"sw","cracher",NA,"youssef_e"
39,"sw","crique",NA,"youssef_e"
40,"sw","retrouverez",NA,"youssef_e"
41,"sw","suave",NA,"youssef_e"
42,"sw","près",NA,"youssef_e"
43,"sw","automne","otonom","youssef_e"
44,"sw","client",NA,"youssef_e"
45,"sw","soixante-dix",NA,"youssef_e"
46,"sw","sien","sj@","youssef_e"
47,"sw","rond",NA,"youssef_e"
48,"sw","deux",NA,"youssef_e"
49,"sw","pire",NA,"youssef_e"
50,"sw","sens",NA,"youssef_e"
51,"sw","rien",NA,"youssef_e"
