"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"abdel-ghani_r"
203,"wp","selle",NA,"abdel-ghani_r"
204,"wp","bise",NA,"abdel-ghani_r"
205,"wp","vase",NA,"abdel-ghani_r"
206,"wp","murs",NA,"abdel-ghani_r"
207,"wp","sers",NA,"abdel-ghani_r"
208,"wp","dira",NA,"abdel-ghani_r"
209,"wp","dure",NA,"abdel-ghani_r"
210,"wp","serra",NA,"abdel-ghani_r"
211,"wp","verre",NA,"abdel-ghani_r"
212,"wp","malle",NA,"abdel-ghani_r"
213,"wp","bille",NA,"abdel-ghani_r"
214,"wp","cape",NA,"abdel-ghani_r"
215,"wp","page",NA,"abdel-ghani_r"
216,"wp","peur",NA,"abdel-ghani_r"
217,"wp","poux",NA,"abdel-ghani_r"
218,"wp","mots",NA,"abdel-ghani_r"
219,"wp","pois",NA,"abdel-ghani_r"
220,"wp","liège",NA,"abdel-ghani_r"
221,"wp","singe",NA,"abdel-ghani_r"
222,"wp","doux",NA,"abdel-ghani_r"
223,"wp","peux",NA,"abdel-ghani_r"
224,"wp","litre",NA,"abdel-ghani_r"
225,"wp","vivre",NA,"abdel-ghani_r"
226,"wp","puis",NA,"abdel-ghani_r"
227,"wp","sois",NA,"abdel-ghani_r"
228,"wp","mille",NA,"abdel-ghani_r"
229,"wp","folle",NA,"abdel-ghani_r"
230,"wp","peine",NA,"abdel-ghani_r"
231,"wp","reins",NA,"abdel-ghani_r"
232,"wp","mont",NA,"abdel-ghani_r"
233,"wp","sent",NA,"abdel-ghani_r"
234,"wp","aire",NA,"abdel-ghani_r"
235,"wp","pile",NA,"abdel-ghani_r"
236,"wp","aime",NA,"abdel-ghani_r"
237,"wp","armé",NA,"abdel-ghani_r"
238,"wp","bout","bwa","abdel-ghani_r"
239,"wp","toit",NA,"abdel-ghani_r"
240,"wp","lame",NA,"abdel-ghani_r"
241,"wp","rime",NA,"abdel-ghani_r"
242,"wp","soin",NA,"abdel-ghani_r"
243,"wp","sais",NA,"abdel-ghani_r"
244,"wp","note",NA,"abdel-ghani_r"
245,"wp","voie",NA,"abdel-ghani_r"
246,"wp","gris",NA,"abdel-ghani_r"
247,"wp","iras",NA,"abdel-ghani_r"
248,"wp","ferai",NA,"abdel-ghani_r"
249,"wp","seras",NA,"abdel-ghani_r"
250,"wp","colle",NA,"abdel-ghani_r"
251,"wp","foule",NA,"abdel-ghani_r"
252,"wp","grave",NA,"abdel-ghani_r"
253,"wp","brève",NA,"abdel-ghani_r"
254,"wp","fous",NA,"abdel-ghani_r"
255,"wp","tour",NA,"abdel-ghani_r"
256,"wp","masse",NA,"abdel-ghani_r"
257,"wp","cesse",NA,"abdel-ghani_r"
258,"wp","fixa",NA,"abdel-ghani_r"
259,"wp","file",NA,"abdel-ghani_r"
260,"wp","manie",NA,"abdel-ghani_r"
261,"wp","marge",NA,"abdel-ghani_r"
262,"wp","dont",NA,"abdel-ghani_r"
263,"wp","vent",NA,"abdel-ghani_r"
264,"wp","fois",NA,"abdel-ghani_r"
265,"wp","mais",NA,"abdel-ghani_r"
266,"wp","verra",NA,"abdel-ghani_r"
267,"wp","verse",NA,"abdel-ghani_r"
268,"wp","faute",NA,"abdel-ghani_r"
269,"wp","sauve",NA,"abdel-ghani_r"
270,"wp","fini",NA,"abdel-ghani_r"
271,"wp","mine",NA,"abdel-ghani_r"
272,"wp","dure",NA,"abdel-ghani_r"
273,"wp","pire",NA,"abdel-ghani_r"
274,"wp","fasse",NA,"abdel-ghani_r"
275,"wp","bosse",NA,"abdel-ghani_r"
276,"wp","boude","kud","abdel-ghani_r"
277,"wp","coule",NA,"abdel-ghani_r"
278,"wp","fend",NA,"abdel-ghani_r"
279,"wp","rond",NA,"abdel-ghani_r"
280,"wp","rends",NA,"abdel-ghani_r"
281,"wp","vendu",NA,"abdel-ghani_r"
282,"wp","vente",NA,"abdel-ghani_r"
283,"wp","perte",NA,"abdel-ghani_r"
284,"wp","aide",NA,"abdel-ghani_r"
285,"wp","vise",NA,"abdel-ghani_r"
286,"wp","paire",NA,"abdel-ghani_r"
287,"wp","foire",NA,"abdel-ghani_r"
288,"wp","fait",NA,"abdel-ghani_r"
289,"wp","luit",NA,"abdel-ghani_r"
