"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"adame_p"
203,"wp","selle",NA,"adame_p"
204,"wp","bise",NA,"adame_p"
205,"wp","vase",NA,"adame_p"
206,"wp","murs",NA,"adame_p"
207,"wp","sers",NA,"adame_p"
208,"wp","dira",NA,"adame_p"
209,"wp","dure",NA,"adame_p"
210,"wp","serra",NA,"adame_p"
211,"wp","verre",NA,"adame_p"
212,"wp","malle",NA,"adame_p"
213,"wp","bille",NA,"adame_p"
214,"wp","cape",NA,"adame_p"
215,"wp","page",NA,"adame_p"
216,"wp","peur",NA,"adame_p"
217,"wp","poux",NA,"adame_p"
218,"wp","mots",NA,"adame_p"
219,"wp","pois",NA,"adame_p"
220,"wp","liège",NA,"adame_p"
221,"wp","singe",NA,"adame_p"
222,"wp","doux",NA,"adame_p"
223,"wp","peux",NA,"adame_p"
224,"wp","litre",NA,"adame_p"
225,"wp","vivre",NA,"adame_p"
226,"wp","puis",NA,"adame_p"
227,"wp","sois",NA,"adame_p"
228,"wp","mille",NA,"adame_p"
229,"wp","folle",NA,"adame_p"
230,"wp","peine","p5","adame_p"
231,"wp","reins",NA,"adame_p"
232,"wp","mont",NA,"adame_p"
233,"wp","sent",NA,"adame_p"
234,"wp","aire",NA,"adame_p"
235,"wp","pile",NA,"adame_p"
236,"wp","aime",NA,"adame_p"
237,"wp","armé",NA,"adame_p"
238,"wp","bout",NA,"adame_p"
239,"wp","toit",NA,"adame_p"
240,"wp","lame",NA,"adame_p"
241,"wp","rime",NA,"adame_p"
242,"wp","soin",NA,"adame_p"
243,"wp","sais",NA,"adame_p"
244,"wp","note",NA,"adame_p"
245,"wp","voie",NA,"adame_p"
246,"wp","gris",NA,"adame_p"
247,"wp","iras",NA,"adame_p"
248,"wp","ferai",NA,"adame_p"
249,"wp","seras",NA,"adame_p"
250,"wp","colle",NA,"adame_p"
251,"wp","foule",NA,"adame_p"
252,"wp","grave",NA,"adame_p"
253,"wp","brève",NA,"adame_p"
254,"wp","fous",NA,"adame_p"
255,"wp","tour",NA,"adame_p"
256,"wp","masse",NA,"adame_p"
257,"wp","cesse",NA,"adame_p"
258,"wp","fixa",NA,"adame_p"
259,"wp","file",NA,"adame_p"
260,"wp","manie",NA,"adame_p"
261,"wp","marge",NA,"adame_p"
262,"wp","dont",NA,"adame_p"
263,"wp","vent",NA,"adame_p"
264,"wp","fois",NA,"adame_p"
265,"wp","mais",NA,"adame_p"
266,"wp","verra",NA,"adame_p"
267,"wp","verse",NA,"adame_p"
268,"wp","faute",NA,"adame_p"
269,"wp","sauve",NA,"adame_p"
270,"wp","fini",NA,"adame_p"
271,"wp","mine",NA,"adame_p"
272,"wp","dure",NA,"adame_p"
273,"wp","pire",NA,"adame_p"
274,"wp","fasse",NA,"adame_p"
275,"wp","bosse",NA,"adame_p"
276,"wp","boude",NA,"adame_p"
277,"wp","coule",NA,"adame_p"
278,"wp","fend",NA,"adame_p"
279,"wp","rond",NA,"adame_p"
280,"wp","rends","r§","adame_p"
281,"wp","vendu",NA,"adame_p"
282,"wp","vente",NA,"adame_p"
283,"wp","perte",NA,"adame_p"
284,"wp","aide",NA,"adame_p"
285,"wp","vise",NA,"adame_p"
286,"wp","paire",NA,"adame_p"
287,"wp","foire",NA,"adame_p"
288,"wp","fait",NA,"adame_p"
289,"wp","luit",NA,"adame_p"
