"order","test_id","word","response","subj_id"
"202","wp","balle",NA,"adem_c"
"203","wp","selle",NA,"adem_c"
"204","wp","bise",NA,"adem_c"
"205","wp","vase","vas","adem_c"
"206","wp","murs",NA,"adem_c"
"207","wp","sers",NA,"adem_c"
"208","wp","dira",NA,"adem_c"
"209","wp","dure",NA,"adem_c"
"210","wp","serra",NA,"adem_c"
"211","wp","verre",NA,"adem_c"
"212","wp","malle",NA,"adem_c"
"213","wp","bille",NA,"adem_c"
"214","wp","cape",NA,"adem_c"
"215","wp","page",NA,"adem_c"
"216","wp","peur",NA,"adem_c"
"217","wp","poux",NA,"adem_c"
"218","wp","mots",NA,"adem_c"
"219","wp","pois",NA,"adem_c"
"220","wp","liège",NA,"adem_c"
"221","wp","singe",NA,"adem_c"
"222","wp","doux",NA,"adem_c"
"223","wp","peux",NA,"adem_c"
"224","wp","litre",NA,"adem_c"
"225","wp","vivre",NA,"adem_c"
"226","wp","puis",NA,"adem_c"
"227","wp","sois",NA,"adem_c"
"228","wp","mille",NA,"adem_c"
"229","wp","folle",NA,"adem_c"
"230","wp","peine","p5","adem_c"
"231","wp","reins",NA,"adem_c"
"232","wp","mont","m§t","adem_c"
"233","wp","sent",NA,"adem_c"
"234","wp","aire",NA,"adem_c"
"235","wp","pile",NA,"adem_c"
"236","wp","aime",NA,"adem_c"
"237","wp","armé",NA,"adem_c"
"238","wp","bout","but","adem_c"
"239","wp","toit",NA,"adem_c"
"240","wp","lame","larm","adem_c"
"241","wp","rime",NA,"adem_c"
"242","wp","soin","swa","adem_c"
"243","wp","sais",NA,"adem_c"
"244","wp","note","notr*","adem_c"
"245","wp","voie",NA,"adem_c"
"246","wp","gris",NA,"adem_c"
"247","wp","iras",NA,"adem_c"
"248","wp","ferai",NA,"adem_c"
"249","wp","seras",NA,"adem_c"
"250","wp","colle",NA,"adem_c"
"251","wp","foule",NA,"adem_c"
"252","wp","grave",NA,"adem_c"
"253","wp","brève",NA,"adem_c"
"254","wp","fous",NA,"adem_c"
"255","wp","tour",NA,"adem_c"
"256","wp","masse",NA,"adem_c"
"257","wp","cesse",NA,"adem_c"
"258","wp","fixa",NA,"adem_c"
"259","wp","file",NA,"adem_c"
"260","wp","manie",NA,"adem_c"
"261","wp","marge",NA,"adem_c"
"262","wp","dont",NA,"adem_c"
"263","wp","vent",NA,"adem_c"
"264","wp","fois",NA,"adem_c"
"265","wp","mais",NA,"adem_c"
"266","wp","verra",NA,"adem_c"
"267","wp","verse",NA,"adem_c"
"268","wp","faute","fo","adem_c"
"269","wp","sauve",NA,"adem_c"
"270","wp","fini",NA,"adem_c"
"271","wp","mine",NA,"adem_c"
"272","wp","dure",NA,"adem_c"
"273","wp","pire",NA,"adem_c"
"274","wp","fasse",NA,"adem_c"
"275","wp","bosse",NA,"adem_c"
"276","wp","boude",NA,"adem_c"
"277","wp","coule",NA,"adem_c"
"278","wp","fend",NA,"adem_c"
"279","wp","rond",NA,"adem_c"
"280","wp","rends","f@","adem_c"
"281","wp","vendu",NA,"adem_c"
"282","wp","vente","f@t","adem_c"
"283","wp","perte",NA,"adem_c"
"284","wp","aide",NA,"adem_c"
"285","wp","vise","vis","adem_c"
"286","wp","paire",NA,"adem_c"
"287","wp","foire",NA,"adem_c"
"288","wp","fait",NA,"adem_c"
"289","wp","luit",NA,"adem_c"
