"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"antoine_d"
203,"wp","selle",NA,"antoine_d"
204,"wp","bise",NA,"antoine_d"
205,"wp","vase",NA,"antoine_d"
206,"wp","murs",NA,"antoine_d"
207,"wp","sers",NA,"antoine_d"
208,"wp","dira",NA,"antoine_d"
209,"wp","dure",NA,"antoine_d"
210,"wp","serra",NA,"antoine_d"
211,"wp","verre",NA,"antoine_d"
212,"wp","malle",NA,"antoine_d"
213,"wp","bille",NA,"antoine_d"
214,"wp","cape",NA,"antoine_d"
215,"wp","page",NA,"antoine_d"
216,"wp","peur",NA,"antoine_d"
217,"wp","poux",NA,"antoine_d"
218,"wp","mots",NA,"antoine_d"
219,"wp","pois",NA,"antoine_d"
220,"wp","liège",NA,"antoine_d"
221,"wp","singe",NA,"antoine_d"
222,"wp","doux",NA,"antoine_d"
223,"wp","peux",NA,"antoine_d"
224,"wp","litre",NA,"antoine_d"
225,"wp","vivre",NA,"antoine_d"
226,"wp","puis",NA,"antoine_d"
227,"wp","sois",NA,"antoine_d"
228,"wp","mille",NA,"antoine_d"
229,"wp","folle",NA,"antoine_d"
230,"wp","peine",NA,"antoine_d"
231,"wp","reins",NA,"antoine_d"
232,"wp","mont",NA,"antoine_d"
233,"wp","sent",NA,"antoine_d"
234,"wp","aire",NA,"antoine_d"
235,"wp","pile",NA,"antoine_d"
236,"wp","aime",NA,"antoine_d"
237,"wp","armé",NA,"antoine_d"
238,"wp","bout",NA,"antoine_d"
239,"wp","toit",NA,"antoine_d"
240,"wp","lame",NA,"antoine_d"
241,"wp","rime",NA,"antoine_d"
242,"wp","soin",NA,"antoine_d"
243,"wp","sais",NA,"antoine_d"
244,"wp","note","notr","antoine_d"
245,"wp","voie",NA,"antoine_d"
246,"wp","gris",NA,"antoine_d"
247,"wp","iras",NA,"antoine_d"
248,"wp","ferai",NA,"antoine_d"
249,"wp","seras",NA,"antoine_d"
250,"wp","colle",NA,"antoine_d"
251,"wp","foule",NA,"antoine_d"
252,"wp","grave",NA,"antoine_d"
253,"wp","brève",NA,"antoine_d"
254,"wp","fous",NA,"antoine_d"
255,"wp","tour",NA,"antoine_d"
256,"wp","masse",NA,"antoine_d"
257,"wp","cesse",NA,"antoine_d"
258,"wp","fixa",NA,"antoine_d"
259,"wp","file",NA,"antoine_d"
260,"wp","manie",NA,"antoine_d"
261,"wp","marge",NA,"antoine_d"
262,"wp","dont",NA,"antoine_d"
263,"wp","vent",NA,"antoine_d"
264,"wp","fois",NA,"antoine_d"
265,"wp","mais",NA,"antoine_d"
266,"wp","verra",NA,"antoine_d"
267,"wp","verse",NA,"antoine_d"
268,"wp","faute",NA,"antoine_d"
269,"wp","sauve",NA,"antoine_d"
270,"wp","fini",NA,"antoine_d"
271,"wp","mine",NA,"antoine_d"
272,"wp","dure",NA,"antoine_d"
273,"wp","pire",NA,"antoine_d"
274,"wp","fasse",NA,"antoine_d"
275,"wp","bosse",NA,"antoine_d"
276,"wp","boude",NA,"antoine_d"
277,"wp","coule",NA,"antoine_d"
278,"wp","fend",NA,"antoine_d"
279,"wp","rond",NA,"antoine_d"
280,"wp","rends",NA,"antoine_d"
281,"wp","vendu",NA,"antoine_d"
282,"wp","vente",NA,"antoine_d"
283,"wp","perte",NA,"antoine_d"
284,"wp","aide",NA,"antoine_d"
285,"wp","vise",NA,"antoine_d"
286,"wp","paire",NA,"antoine_d"
287,"wp","foire",NA,"antoine_d"
288,"wp","fait",NA,"antoine_d"
289,"wp","luit",NA,"antoine_d"
