"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"camille"
203,"wp","selle",NA,"camille"
204,"wp","bise",NA,"camille"
205,"wp","vase",NA,"camille"
206,"wp","murs",NA,"camille"
207,"wp","sers",NA,"camille"
208,"wp","dira",NA,"camille"
209,"wp","dure",NA,"camille"
210,"wp","serra",NA,"camille"
211,"wp","verre",NA,"camille"
212,"wp","malle",NA,"camille"
213,"wp","bille","bil","camille"
214,"wp","cape",NA,"camille"
215,"wp","page",NA,"camille"
216,"wp","peur",NA,"camille"
217,"wp","poux",NA,"camille"
218,"wp","mots",NA,"camille"
219,"wp","pois",NA,"camille"
220,"wp","liège",NA,"camille"
221,"wp","singe","iEZ","camille"
222,"wp","doux",NA,"camille"
223,"wp","peux",NA,"camille"
224,"wp","litre",NA,"camille"
225,"wp","vivre",NA,"camille"
226,"wp","puis",NA,"camille"
227,"wp","sois",NA,"camille"
228,"wp","mille",NA,"camille"
229,"wp","folle","fwa","camille"
230,"wp","peine",NA,"camille"
231,"wp","reins",NA,"camille"
232,"wp","mont",NA,"camille"
233,"wp","sent",NA,"camille"
234,"wp","aire",NA,"camille"
235,"wp","pile","bil","camille"
236,"wp","aime",NA,"camille"
237,"wp","armé",NA,"camille"
238,"wp","bout",NA,"camille"
239,"wp","toit",NA,"camille"
240,"wp","lame",NA,"camille"
241,"wp","rime",NA,"camille"
242,"wp","soin",NA,"camille"
243,"wp","sais",NA,"camille"
244,"wp","note",NA,"camille"
245,"wp","voie",NA,"camille"
246,"wp","gris",NA,"camille"
247,"wp","iras",NA,"camille"
248,"wp","ferai","f*ra","camille"
249,"wp","seras",NA,"camille"
250,"wp","colle","kul","camille"
251,"wp","foule",NA,"camille"
252,"wp","grave","grEv","camille"
253,"wp","brève",NA,"camille"
254,"wp","fous","fur","camille"
255,"wp","tour",NA,"camille"
256,"wp","masse",NA,"camille"
257,"wp","cesse",NA,"camille"
258,"wp","fixa",NA,"camille"
259,"wp","file",NA,"camille"
260,"wp","manie",NA,"camille"
261,"wp","marge","marg","camille"
262,"wp","dont",NA,"camille"
263,"wp","vent",NA,"camille"
264,"wp","fois",NA,"camille"
265,"wp","mais",NA,"camille"
266,"wp","verra",NA,"camille"
267,"wp","verse",NA,"camille"
268,"wp","faute",NA,"camille"
269,"wp","sauve",NA,"camille"
270,"wp","fini",NA,"camille"
271,"wp","mine",NA,"camille"
272,"wp","dure",NA,"camille"
273,"wp","pire",NA,"camille"
274,"wp","fasse",NA,"camille"
275,"wp","bosse",NA,"camille"
276,"wp","boude",NA,"camille"
277,"wp","coule",NA,"camille"
278,"wp","fend",NA,"camille"
279,"wp","rond",NA,"camille"
280,"wp","rends",NA,"camille"
281,"wp","vendu",NA,"camille"
282,"wp","vente",NA,"camille"
283,"wp","perte",NA,"camille"
284,"wp","aide",NA,"camille"
285,"wp","vise",NA,"camille"
286,"wp","paire",NA,"camille"
287,"wp","foire",NA,"camille"
288,"wp","fait",NA,"camille"
289,"wp","luit",NA,"camille"
