"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"gwendale"
203,"wp","selle",NA,"gwendale"
204,"wp","bise",NA,"gwendale"
205,"wp","vase",NA,"gwendale"
206,"wp","murs",NA,"gwendale"
207,"wp","sers",NA,"gwendale"
208,"wp","dira",NA,"gwendale"
209,"wp","dure",NA,"gwendale"
210,"wp","serra",NA,"gwendale"
211,"wp","verre",NA,"gwendale"
212,"wp","malle",NA,"gwendale"
213,"wp","bille",NA,"gwendale"
214,"wp","cape",NA,"gwendale"
215,"wp","page",NA,"gwendale"
216,"wp","peur",NA,"gwendale"
217,"wp","poux",NA,"gwendale"
218,"wp","mots",NA,"gwendale"
219,"wp","pois",NA,"gwendale"
220,"wp","liège",NA,"gwendale"
221,"wp","singe",NA,"gwendale"
222,"wp","doux",NA,"gwendale"
223,"wp","peux",NA,"gwendale"
224,"wp","litre",NA,"gwendale"
225,"wp","vivre",NA,"gwendale"
226,"wp","puis",NA,"gwendale"
227,"wp","sois",NA,"gwendale"
228,"wp","mille",NA,"gwendale"
229,"wp","folle",NA,"gwendale"
230,"wp","peine",NA,"gwendale"
231,"wp","reins",NA,"gwendale"
232,"wp","mont",NA,"gwendale"
233,"wp","sent",NA,"gwendale"
234,"wp","aire",NA,"gwendale"
235,"wp","pile",NA,"gwendale"
236,"wp","aime","Eme","gwendale"
237,"wp","armé",NA,"gwendale"
238,"wp","bout",NA,"gwendale"
239,"wp","toit",NA,"gwendale"
240,"wp","lame",NA,"gwendale"
241,"wp","rime",NA,"gwendale"
242,"wp","soin",NA,"gwendale"
243,"wp","sais",NA,"gwendale"
244,"wp","note",NA,"gwendale"
245,"wp","voie",NA,"gwendale"
246,"wp","gris",NA,"gwendale"
247,"wp","iras",NA,"gwendale"
248,"wp","ferai","f*ra","gwendale"
249,"wp","seras","s*re","gwendale"
250,"wp","colle",NA,"gwendale"
251,"wp","foule",NA,"gwendale"
252,"wp","grave",NA,"gwendale"
253,"wp","brève",NA,"gwendale"
254,"wp","fous",NA,"gwendale"
255,"wp","tour",NA,"gwendale"
256,"wp","masse",NA,"gwendale"
257,"wp","cesse",NA,"gwendale"
258,"wp","fixa",NA,"gwendale"
259,"wp","file",NA,"gwendale"
260,"wp","manie","mania","gwendale"
261,"wp","marge",NA,"gwendale"
262,"wp","dont",NA,"gwendale"
263,"wp","vent",NA,"gwendale"
264,"wp","fois",NA,"gwendale"
265,"wp","mais","mais","gwendale"
266,"wp","verra",NA,"gwendale"
267,"wp","verse",NA,"gwendale"
268,"wp","faute",NA,"gwendale"
269,"wp","sauve",NA,"gwendale"
270,"wp","fini",NA,"gwendale"
271,"wp","mine",NA,"gwendale"
272,"wp","dure","dira","gwendale"
273,"wp","pire",NA,"gwendale"
274,"wp","fasse",NA,"gwendale"
275,"wp","bosse",NA,"gwendale"
276,"wp","boude",NA,"gwendale"
277,"wp","coule",NA,"gwendale"
278,"wp","fend",NA,"gwendale"
279,"wp","rond",NA,"gwendale"
280,"wp","rends",NA,"gwendale"
281,"wp","vendu",NA,"gwendale"
282,"wp","vente",NA,"gwendale"
283,"wp","perte",NA,"gwendale"
284,"wp","aide",NA,"gwendale"
285,"wp","vise",NA,"gwendale"
286,"wp","paire",NA,"gwendale"
287,"wp","foire",NA,"gwendale"
288,"wp","fait",NA,"gwendale"
289,"wp","luit",NA,"gwendale"
