"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"lallah"
203,"wp","selle","sal","lallah"
204,"wp","bise",NA,"lallah"
205,"wp","vase","vas","lallah"
206,"wp","murs",NA,"lallah"
207,"wp","sers",NA,"lallah"
208,"wp","dira","pira","lallah"
209,"wp","dure",NA,"lallah"
210,"wp","serra",NA,"lallah"
211,"wp","verre",NA,"lallah"
212,"wp","malle",NA,"lallah"
213,"wp","bille","bil","lallah"
214,"wp","cape","pap","lallah"
215,"wp","page","baZ","lallah"
216,"wp","peur","p*","lallah"
217,"wp","poux","tu","lallah"
218,"wp","mots",NA,"lallah"
219,"wp","pois",NA,"lallah"
220,"wp","liège",NA,"lallah"
221,"wp","singe","siN","lallah"
222,"wp","doux",NA,"lallah"
223,"wp","peux",NA,"lallah"
224,"wp","litre",NA,"lallah"
225,"wp","vivre","vitr","lallah"
226,"wp","puis","pu","lallah"
227,"wp","sois",NA,"lallah"
228,"wp","mille",NA,"lallah"
229,"wp","folle",NA,"lallah"
230,"wp","peine",NA,"lallah"
231,"wp","reins","rEn","lallah"
232,"wp","mont","s§","lallah"
233,"wp","sent",NA,"lallah"
234,"wp","aire",NA,"lallah"
235,"wp","pile",NA,"lallah"
236,"wp","aime","Eme","lallah"
237,"wp","armé",NA,"lallah"
238,"wp","bout",NA,"lallah"
239,"wp","toit",NA,"lallah"
240,"wp","lame",NA,"lallah"
241,"wp","rime",NA,"lallah"
242,"wp","soin","swa","lallah"
243,"wp","sais",NA,"lallah"
244,"wp","note","mot","lallah"
245,"wp","voie",NA,"lallah"
246,"wp","gris",NA,"lallah"
247,"wp","iras",NA,"lallah"
248,"wp","ferai","f*ra","lallah"
249,"wp","seras",NA,"lallah"
250,"wp","colle",NA,"lallah"
251,"wp","foule",NA,"lallah"
252,"wp","grave","gras","lallah"
253,"wp","brève","brize","lallah"
254,"wp","fous",NA,"lallah"
255,"wp","tour",NA,"lallah"
256,"wp","masse","m5s","lallah"
257,"wp","cesse","kas","lallah"
258,"wp","fixa","fiks","lallah"
259,"wp","file",NA,"lallah"
260,"wp","manie",NA,"lallah"
261,"wp","marge",NA,"lallah"
262,"wp","dont",NA,"lallah"
263,"wp","vent",NA,"lallah"
264,"wp","fois","swa","lallah"
265,"wp","mais",NA,"lallah"
266,"wp","verra","s*ra","lallah"
267,"wp","verse","sert","lallah"
268,"wp","faute",NA,"lallah"
269,"wp","sauve",NA,"lallah"
270,"wp","fini",NA,"lallah"
271,"wp","mine",NA,"lallah"
272,"wp","dure",NA,"lallah"
273,"wp","pire",NA,"lallah"
274,"wp","fasse",NA,"lallah"
275,"wp","bosse",NA,"lallah"
276,"wp","boude",NA,"lallah"
277,"wp","coule",NA,"lallah"
278,"wp","fend",NA,"lallah"
279,"wp","rond",NA,"lallah"
280,"wp","rends",NA,"lallah"
281,"wp","vendu",NA,"lallah"
282,"wp","vente","v@te","lallah"
283,"wp","perte","pEr*","lallah"
284,"wp","aide",NA,"lallah"
285,"wp","vise",NA,"lallah"
286,"wp","paire",NA,"lallah"
287,"wp","foire",NA,"lallah"
288,"wp","fait",NA,"lallah"
289,"wp","luit","l*t","lallah"
