"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"lou-ann_d"
203,"wp","selle",NA,"lou-ann_d"
204,"wp","bise","briz","lou-ann_d"
205,"wp","vase",NA,"lou-ann_d"
206,"wp","murs",NA,"lou-ann_d"
207,"wp","sers",NA,"lou-ann_d"
208,"wp","dira",NA,"lou-ann_d"
209,"wp","dure",NA,"lou-ann_d"
210,"wp","serra",NA,"lou-ann_d"
211,"wp","verre",NA,"lou-ann_d"
212,"wp","malle",NA,"lou-ann_d"
213,"wp","bille","bil","lou-ann_d"
214,"wp","cape",NA,"lou-ann_d"
215,"wp","page",NA,"lou-ann_d"
216,"wp","peur",NA,"lou-ann_d"
217,"wp","poux",NA,"lou-ann_d"
218,"wp","mots",NA,"lou-ann_d"
219,"wp","pois",NA,"lou-ann_d"
220,"wp","liège",NA,"lou-ann_d"
221,"wp","singe",NA,"lou-ann_d"
222,"wp","doux",NA,"lou-ann_d"
223,"wp","peux",NA,"lou-ann_d"
224,"wp","litre",NA,"lou-ann_d"
225,"wp","vivre","vir","lou-ann_d"
226,"wp","puis",NA,"lou-ann_d"
227,"wp","sois",NA,"lou-ann_d"
228,"wp","mille",NA,"lou-ann_d"
229,"wp","folle",NA,"lou-ann_d"
230,"wp","peine",NA,"lou-ann_d"
231,"wp","reins",NA,"lou-ann_d"
232,"wp","mont",NA,"lou-ann_d"
233,"wp","sent",NA,"lou-ann_d"
234,"wp","aire",NA,"lou-ann_d"
235,"wp","pile",NA,"lou-ann_d"
236,"wp","aime",NA,"lou-ann_d"
237,"wp","armé",NA,"lou-ann_d"
238,"wp","bout",NA,"lou-ann_d"
239,"wp","toit",NA,"lou-ann_d"
240,"wp","lame",NA,"lou-ann_d"
241,"wp","rime",NA,"lou-ann_d"
242,"wp","soin",NA,"lou-ann_d"
243,"wp","sais",NA,"lou-ann_d"
244,"wp","note",NA,"lou-ann_d"
245,"wp","voie",NA,"lou-ann_d"
246,"wp","gris",NA,"lou-ann_d"
247,"wp","iras",NA,"lou-ann_d"
248,"wp","ferai",NA,"lou-ann_d"
249,"wp","seras",NA,"lou-ann_d"
250,"wp","colle",NA,"lou-ann_d"
251,"wp","foule",NA,"lou-ann_d"
252,"wp","grave",NA,"lou-ann_d"
253,"wp","brève",NA,"lou-ann_d"
254,"wp","fous",NA,"lou-ann_d"
255,"wp","tour",NA,"lou-ann_d"
256,"wp","masse",NA,"lou-ann_d"
257,"wp","cesse",NA,"lou-ann_d"
258,"wp","fixa",NA,"lou-ann_d"
259,"wp","file",NA,"lou-ann_d"
260,"wp","manie",NA,"lou-ann_d"
261,"wp","marge",NA,"lou-ann_d"
262,"wp","dont",NA,"lou-ann_d"
263,"wp","vent",NA,"lou-ann_d"
264,"wp","fois",NA,"lou-ann_d"
265,"wp","mais",NA,"lou-ann_d"
266,"wp","verra",NA,"lou-ann_d"
267,"wp","verse",NA,"lou-ann_d"
268,"wp","faute",NA,"lou-ann_d"
269,"wp","sauve",NA,"lou-ann_d"
270,"wp","fini",NA,"lou-ann_d"
271,"wp","mine",NA,"lou-ann_d"
272,"wp","dure",NA,"lou-ann_d"
273,"wp","pire",NA,"lou-ann_d"
274,"wp","fasse",NA,"lou-ann_d"
275,"wp","bosse",NA,"lou-ann_d"
276,"wp","boude",NA,"lou-ann_d"
277,"wp","coule",NA,"lou-ann_d"
278,"wp","fend",NA,"lou-ann_d"
279,"wp","rond",NA,"lou-ann_d"
280,"wp","rends",NA,"lou-ann_d"
281,"wp","vendu",NA,"lou-ann_d"
282,"wp","vente",NA,"lou-ann_d"
283,"wp","perte",NA,"lou-ann_d"
284,"wp","aide",NA,"lou-ann_d"
285,"wp","vise",NA,"lou-ann_d"
286,"wp","paire",NA,"lou-ann_d"
287,"wp","foire",NA,"lou-ann_d"
288,"wp","fait",NA,"lou-ann_d"
289,"wp","luit",NA,"lou-ann_d"
