"order","test_id","word","response","subj_id"
202,"wp","balle","bEl","maelys_p"
203,"wp","selle",NA,"maelys_p"
204,"wp","bise",NA,"maelys_p"
205,"wp","vase",NA,"maelys_p"
206,"wp","murs",NA,"maelys_p"
207,"wp","sers",NA,"maelys_p"
208,"wp","dira",NA,"maelys_p"
209,"wp","dure",NA,"maelys_p"
210,"wp","serra","sEr","maelys_p"
211,"wp","verre",NA,"maelys_p"
212,"wp","malle",NA,"maelys_p"
213,"wp","bille",NA,"maelys_p"
214,"wp","cape",NA,"maelys_p"
215,"wp","page",NA,"maelys_p"
216,"wp","peur",NA,"maelys_p"
217,"wp","poux",NA,"maelys_p"
218,"wp","mots",NA,"maelys_p"
219,"wp","pois",NA,"maelys_p"
220,"wp","liège",NA,"maelys_p"
221,"wp","singe",NA,"maelys_p"
222,"wp","doux",NA,"maelys_p"
223,"wp","peux",NA,"maelys_p"
224,"wp","litre",NA,"maelys_p"
225,"wp","vivre",NA,"maelys_p"
226,"wp","puis",NA,"maelys_p"
227,"wp","sois",NA,"maelys_p"
228,"wp","mille",NA,"maelys_p"
229,"wp","folle",NA,"maelys_p"
230,"wp","peine",NA,"maelys_p"
231,"wp","reins","rEn","maelys_p"
232,"wp","mont",NA,"maelys_p"
233,"wp","sent",NA,"maelys_p"
234,"wp","aire",NA,"maelys_p"
235,"wp","pile",NA,"maelys_p"
236,"wp","aime",NA,"maelys_p"
237,"wp","armé",NA,"maelys_p"
238,"wp","bout",NA,"maelys_p"
239,"wp","toit",NA,"maelys_p"
240,"wp","lame",NA,"maelys_p"
241,"wp","rime",NA,"maelys_p"
242,"wp","soin",NA,"maelys_p"
243,"wp","sais","sa","maelys_p"
244,"wp","note",NA,"maelys_p"
245,"wp","voie",NA,"maelys_p"
246,"wp","gris",NA,"maelys_p"
247,"wp","iras",NA,"maelys_p"
248,"wp","ferai","f*ra","maelys_p"
249,"wp","seras",NA,"maelys_p"
250,"wp","colle",NA,"maelys_p"
251,"wp","foule",NA,"maelys_p"
252,"wp","grave",NA,"maelys_p"
253,"wp","brève",NA,"maelys_p"
254,"wp","fous",NA,"maelys_p"
255,"wp","tour",NA,"maelys_p"
256,"wp","masse",NA,"maelys_p"
257,"wp","cesse",NA,"maelys_p"
258,"wp","fixa",NA,"maelys_p"
259,"wp","file",NA,"maelys_p"
260,"wp","manie",NA,"maelys_p"
261,"wp","marge",NA,"maelys_p"
262,"wp","dont",NA,"maelys_p"
263,"wp","vent",NA,"maelys_p"
264,"wp","fois",NA,"maelys_p"
265,"wp","mais",NA,"maelys_p"
266,"wp","verra",NA,"maelys_p"
267,"wp","verse",NA,"maelys_p"
268,"wp","faute",NA,"maelys_p"
269,"wp","sauve",NA,"maelys_p"
270,"wp","fini",NA,"maelys_p"
271,"wp","mine",NA,"maelys_p"
272,"wp","dure",NA,"maelys_p"
273,"wp","pire",NA,"maelys_p"
274,"wp","fasse",NA,"maelys_p"
275,"wp","bosse",NA,"maelys_p"
276,"wp","boude","fud","maelys_p"
277,"wp","coule",NA,"maelys_p"
278,"wp","fend",NA,"maelys_p"
279,"wp","rond",NA,"maelys_p"
280,"wp","rends",NA,"maelys_p"
281,"wp","vendu",NA,"maelys_p"
282,"wp","vente",NA,"maelys_p"
283,"wp","perte",NA,"maelys_p"
284,"wp","aide",NA,"maelys_p"
285,"wp","vise",NA,"maelys_p"
286,"wp","paire",NA,"maelys_p"
287,"wp","foire",NA,"maelys_p"
288,"wp","fait",NA,"maelys_p"
289,"wp","luit",NA,"maelys_p"
