"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"malik_c"
203,"wp","selle",NA,"malik_c"
204,"wp","bise",NA,"malik_c"
205,"wp","vase",NA,"malik_c"
206,"wp","murs",NA,"malik_c"
207,"wp","sers",NA,"malik_c"
208,"wp","dira",NA,"malik_c"
209,"wp","dure",NA,"malik_c"
210,"wp","serra",NA,"malik_c"
211,"wp","verre",NA,"malik_c"
212,"wp","malle",NA,"malik_c"
213,"wp","bille",NA,"malik_c"
214,"wp","cape",NA,"malik_c"
215,"wp","page",NA,"malik_c"
216,"wp","peur",NA,"malik_c"
217,"wp","poux",NA,"malik_c"
218,"wp","mots",NA,"malik_c"
219,"wp","pois",NA,"malik_c"
220,"wp","liège",NA,"malik_c"
221,"wp","singe",NA,"malik_c"
222,"wp","doux",NA,"malik_c"
223,"wp","peux",NA,"malik_c"
224,"wp","litre",NA,"malik_c"
225,"wp","vivre",NA,"malik_c"
226,"wp","puis",NA,"malik_c"
227,"wp","sois",NA,"malik_c"
228,"wp","mille",NA,"malik_c"
229,"wp","folle",NA,"malik_c"
230,"wp","peine",NA,"malik_c"
231,"wp","reins",NA,"malik_c"
232,"wp","mont",NA,"malik_c"
233,"wp","sent",NA,"malik_c"
234,"wp","aire",NA,"malik_c"
235,"wp","pile",NA,"malik_c"
236,"wp","aime",NA,"malik_c"
237,"wp","armé",NA,"malik_c"
238,"wp","bout",NA,"malik_c"
239,"wp","toit",NA,"malik_c"
240,"wp","lame",NA,"malik_c"
241,"wp","rime",NA,"malik_c"
242,"wp","soin",NA,"malik_c"
243,"wp","sais",NA,"malik_c"
244,"wp","note",NA,"malik_c"
245,"wp","voie",NA,"malik_c"
246,"wp","gris",NA,"malik_c"
247,"wp","iras",NA,"malik_c"
248,"wp","ferai",NA,"malik_c"
249,"wp","seras",NA,"malik_c"
250,"wp","colle",NA,"malik_c"
251,"wp","foule",NA,"malik_c"
252,"wp","grave",NA,"malik_c"
253,"wp","brève",NA,"malik_c"
254,"wp","fous","fEr","malik_c"
255,"wp","tour",NA,"malik_c"
256,"wp","masse",NA,"malik_c"
257,"wp","cesse",NA,"malik_c"
258,"wp","fixa",NA,"malik_c"
259,"wp","file",NA,"malik_c"
260,"wp","manie",NA,"malik_c"
261,"wp","marge",NA,"malik_c"
262,"wp","dont",NA,"malik_c"
263,"wp","vent",NA,"malik_c"
264,"wp","fois",NA,"malik_c"
265,"wp","mais",NA,"malik_c"
266,"wp","verra","sEra","malik_c"
267,"wp","verse",NA,"malik_c"
268,"wp","faute",NA,"malik_c"
269,"wp","sauve",NA,"malik_c"
270,"wp","fini",NA,"malik_c"
271,"wp","mine",NA,"malik_c"
272,"wp","dure",NA,"malik_c"
273,"wp","pire",NA,"malik_c"
274,"wp","fasse",NA,"malik_c"
275,"wp","bosse",NA,"malik_c"
276,"wp","boude",NA,"malik_c"
277,"wp","coule",NA,"malik_c"
278,"wp","fend",NA,"malik_c"
279,"wp","rond",NA,"malik_c"
280,"wp","rends",NA,"malik_c"
281,"wp","vendu",NA,"malik_c"
282,"wp","vente",NA,"malik_c"
283,"wp","perte",NA,"malik_c"
284,"wp","aide",NA,"malik_c"
285,"wp","vise",NA,"malik_c"
286,"wp","paire",NA,"malik_c"
287,"wp","foire",NA,"malik_c"
288,"wp","fait",NA,"malik_c"
289,"wp","luit",NA,"malik_c"
