"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"matheo_m"
203,"wp","selle",NA,"matheo_m"
204,"wp","bise",NA,"matheo_m"
205,"wp","vase",NA,"matheo_m"
206,"wp","murs",NA,"matheo_m"
207,"wp","sers",NA,"matheo_m"
208,"wp","dira",NA,"matheo_m"
209,"wp","dure",NA,"matheo_m"
210,"wp","serra",NA,"matheo_m"
211,"wp","verre",NA,"matheo_m"
212,"wp","malle",NA,"matheo_m"
213,"wp","bille",NA,"matheo_m"
214,"wp","cape",NA,"matheo_m"
215,"wp","page",NA,"matheo_m"
216,"wp","peur",NA,"matheo_m"
217,"wp","poux",NA,"matheo_m"
218,"wp","mots",NA,"matheo_m"
219,"wp","pois",NA,"matheo_m"
220,"wp","liège",NA,"matheo_m"
221,"wp","singe",NA,"matheo_m"
222,"wp","doux",NA,"matheo_m"
223,"wp","peux",NA,"matheo_m"
224,"wp","litre",NA,"matheo_m"
225,"wp","vivre",NA,"matheo_m"
226,"wp","puis",NA,"matheo_m"
227,"wp","sois",NA,"matheo_m"
228,"wp","mille",NA,"matheo_m"
229,"wp","folle",NA,"matheo_m"
230,"wp","peine",NA,"matheo_m"
231,"wp","reins",NA,"matheo_m"
232,"wp","mont",NA,"matheo_m"
233,"wp","sent",NA,"matheo_m"
234,"wp","aire",NA,"matheo_m"
235,"wp","pile",NA,"matheo_m"
236,"wp","aime",NA,"matheo_m"
237,"wp","armé",NA,"matheo_m"
238,"wp","bout",NA,"matheo_m"
239,"wp","toit",NA,"matheo_m"
240,"wp","lame",NA,"matheo_m"
241,"wp","rime",NA,"matheo_m"
242,"wp","soin",NA,"matheo_m"
243,"wp","sais",NA,"matheo_m"
244,"wp","note",NA,"matheo_m"
245,"wp","voie",NA,"matheo_m"
246,"wp","gris",NA,"matheo_m"
247,"wp","iras",NA,"matheo_m"
248,"wp","ferai",NA,"matheo_m"
249,"wp","seras",NA,"matheo_m"
250,"wp","colle",NA,"matheo_m"
251,"wp","foule",NA,"matheo_m"
252,"wp","grave",NA,"matheo_m"
253,"wp","brève",NA,"matheo_m"
254,"wp","fous",NA,"matheo_m"
255,"wp","tour",NA,"matheo_m"
256,"wp","masse",NA,"matheo_m"
257,"wp","cesse",NA,"matheo_m"
258,"wp","fixa",NA,"matheo_m"
259,"wp","file",NA,"matheo_m"
260,"wp","manie",NA,"matheo_m"
261,"wp","marge",NA,"matheo_m"
262,"wp","dont",NA,"matheo_m"
263,"wp","vent",NA,"matheo_m"
264,"wp","fois",NA,"matheo_m"
265,"wp","mais",NA,"matheo_m"
266,"wp","verra",NA,"matheo_m"
267,"wp","verse",NA,"matheo_m"
268,"wp","faute",NA,"matheo_m"
269,"wp","sauve",NA,"matheo_m"
270,"wp","fini",NA,"matheo_m"
271,"wp","mine",NA,"matheo_m"
272,"wp","dure",NA,"matheo_m"
273,"wp","pire",NA,"matheo_m"
274,"wp","fasse",NA,"matheo_m"
275,"wp","bosse",NA,"matheo_m"
276,"wp","boude",NA,"matheo_m"
277,"wp","coule",NA,"matheo_m"
278,"wp","fend",NA,"matheo_m"
279,"wp","rond",NA,"matheo_m"
280,"wp","rends",NA,"matheo_m"
281,"wp","vendu",NA,"matheo_m"
282,"wp","vente",NA,"matheo_m"
283,"wp","perte",NA,"matheo_m"
284,"wp","aide",NA,"matheo_m"
285,"wp","vise",NA,"matheo_m"
286,"wp","paire",NA,"matheo_m"
287,"wp","foire",NA,"matheo_m"
288,"wp","fait",NA,"matheo_m"
289,"wp","luit",NA,"matheo_m"
