"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"monvaly_d"
203,"wp","selle",NA,"monvaly_d"
204,"wp","bise",NA,"monvaly_d"
205,"wp","vase","va","monvaly_d"
206,"wp","murs",NA,"monvaly_d"
207,"wp","sers",NA,"monvaly_d"
208,"wp","dira",NA,"monvaly_d"
209,"wp","dure",NA,"monvaly_d"
210,"wp","serra",NA,"monvaly_d"
211,"wp","verre",NA,"monvaly_d"
212,"wp","malle",NA,"monvaly_d"
213,"wp","bille",NA,"monvaly_d"
214,"wp","cape",NA,"monvaly_d"
215,"wp","page",NA,"monvaly_d"
216,"wp","peur",NA,"monvaly_d"
217,"wp","poux",NA,"monvaly_d"
218,"wp","mots",NA,"monvaly_d"
219,"wp","pois",NA,"monvaly_d"
220,"wp","liège",NA,"monvaly_d"
221,"wp","singe",NA,"monvaly_d"
222,"wp","doux",NA,"monvaly_d"
223,"wp","peux",NA,"monvaly_d"
224,"wp","litre",NA,"monvaly_d"
225,"wp","vivre",NA,"monvaly_d"
226,"wp","puis",NA,"monvaly_d"
227,"wp","sois","si","monvaly_d"
228,"wp","mille",NA,"monvaly_d"
229,"wp","folle",NA,"monvaly_d"
230,"wp","peine",NA,"monvaly_d"
231,"wp","reins",NA,"monvaly_d"
232,"wp","mont",NA,"monvaly_d"
233,"wp","sent",NA,"monvaly_d"
234,"wp","aire",NA,"monvaly_d"
235,"wp","pile",NA,"monvaly_d"
236,"wp","aime","Eme","monvaly_d"
237,"wp","armé",NA,"monvaly_d"
238,"wp","bout",NA,"monvaly_d"
239,"wp","toit",NA,"monvaly_d"
240,"wp","lame",NA,"monvaly_d"
241,"wp","rime",NA,"monvaly_d"
242,"wp","soin",NA,"monvaly_d"
243,"wp","sais",NA,"monvaly_d"
244,"wp","note",NA,"monvaly_d"
245,"wp","voie",NA,"monvaly_d"
246,"wp","gris",NA,"monvaly_d"
247,"wp","iras",NA,"monvaly_d"
248,"wp","ferai","f*ra","monvaly_d"
249,"wp","seras",NA,"monvaly_d"
250,"wp","colle",NA,"monvaly_d"
251,"wp","foule",NA,"monvaly_d"
252,"wp","grave","brav","monvaly_d"
253,"wp","brève",NA,"monvaly_d"
254,"wp","fous",NA,"monvaly_d"
255,"wp","tour",NA,"monvaly_d"
256,"wp","masse",NA,"monvaly_d"
257,"wp","cesse","sEl","monvaly_d"
258,"wp","fixa",NA,"monvaly_d"
259,"wp","file",NA,"monvaly_d"
260,"wp","manie",NA,"monvaly_d"
261,"wp","marge",NA,"monvaly_d"
262,"wp","dont",NA,"monvaly_d"
263,"wp","vent",NA,"monvaly_d"
264,"wp","fois",NA,"monvaly_d"
265,"wp","mais",NA,"monvaly_d"
266,"wp","verra",NA,"monvaly_d"
267,"wp","verse",NA,"monvaly_d"
268,"wp","faute",NA,"monvaly_d"
269,"wp","sauve",NA,"monvaly_d"
270,"wp","fini",NA,"monvaly_d"
271,"wp","mine",NA,"monvaly_d"
272,"wp","dure",NA,"monvaly_d"
273,"wp","pire",NA,"monvaly_d"
274,"wp","fasse",NA,"monvaly_d"
275,"wp","bosse",NA,"monvaly_d"
276,"wp","boude",NA,"monvaly_d"
277,"wp","coule",NA,"monvaly_d"
278,"wp","fend",NA,"monvaly_d"
279,"wp","rond",NA,"monvaly_d"
280,"wp","rends",NA,"monvaly_d"
281,"wp","vendu",NA,"monvaly_d"
282,"wp","vente",NA,"monvaly_d"
283,"wp","perte",NA,"monvaly_d"
284,"wp","aide",NA,"monvaly_d"
285,"wp","vise",NA,"monvaly_d"
286,"wp","paire",NA,"monvaly_d"
287,"wp","foire",NA,"monvaly_d"
288,"wp","fait",NA,"monvaly_d"
289,"wp","luit",NA,"monvaly_d"
