"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"omar_s"
203,"wp","selle",NA,"omar_s"
204,"wp","bise",NA,"omar_s"
205,"wp","vase",NA,"omar_s"
206,"wp","murs",NA,"omar_s"
207,"wp","sers",NA,"omar_s"
208,"wp","dira",NA,"omar_s"
209,"wp","dure",NA,"omar_s"
210,"wp","serra",NA,"omar_s"
211,"wp","verre",NA,"omar_s"
212,"wp","malle",NA,"omar_s"
213,"wp","bille",NA,"omar_s"
214,"wp","cape",NA,"omar_s"
215,"wp","page",NA,"omar_s"
216,"wp","peur",NA,"omar_s"
217,"wp","poux",NA,"omar_s"
218,"wp","mots",NA,"omar_s"
219,"wp","pois",NA,"omar_s"
220,"wp","liège",NA,"omar_s"
221,"wp","singe",NA,"omar_s"
222,"wp","doux",NA,"omar_s"
223,"wp","peux",NA,"omar_s"
224,"wp","litre",NA,"omar_s"
225,"wp","vivre",NA,"omar_s"
226,"wp","puis",NA,"omar_s"
227,"wp","sois",NA,"omar_s"
228,"wp","mille",NA,"omar_s"
229,"wp","folle",NA,"omar_s"
230,"wp","peine","p5","omar_s"
231,"wp","reins",NA,"omar_s"
232,"wp","mont",NA,"omar_s"
233,"wp","sent",NA,"omar_s"
234,"wp","aire",NA,"omar_s"
235,"wp","pile",NA,"omar_s"
236,"wp","aime","Eme","omar_s"
237,"wp","armé",NA,"omar_s"
238,"wp","bout",NA,"omar_s"
239,"wp","toit",NA,"omar_s"
240,"wp","lame",NA,"omar_s"
241,"wp","rime",NA,"omar_s"
242,"wp","soin",NA,"omar_s"
243,"wp","sais",NA,"omar_s"
244,"wp","note",NA,"omar_s"
245,"wp","voie",NA,"omar_s"
246,"wp","gris",NA,"omar_s"
247,"wp","iras",NA,"omar_s"
248,"wp","ferai",NA,"omar_s"
249,"wp","seras",NA,"omar_s"
250,"wp","colle",NA,"omar_s"
251,"wp","foule",NA,"omar_s"
252,"wp","grave",NA,"omar_s"
253,"wp","brève",NA,"omar_s"
254,"wp","fous",NA,"omar_s"
255,"wp","tour",NA,"omar_s"
256,"wp","masse",NA,"omar_s"
257,"wp","cesse",NA,"omar_s"
258,"wp","fixa",NA,"omar_s"
259,"wp","file",NA,"omar_s"
260,"wp","manie",NA,"omar_s"
261,"wp","marge",NA,"omar_s"
262,"wp","dont",NA,"omar_s"
263,"wp","vent",NA,"omar_s"
264,"wp","fois",NA,"omar_s"
265,"wp","mais",NA,"omar_s"
266,"wp","verra",NA,"omar_s"
267,"wp","verse",NA,"omar_s"
268,"wp","faute",NA,"omar_s"
269,"wp","sauve",NA,"omar_s"
270,"wp","fini",NA,"omar_s"
271,"wp","mine",NA,"omar_s"
272,"wp","dure","dyra","omar_s"
273,"wp","pire",NA,"omar_s"
274,"wp","fasse",NA,"omar_s"
275,"wp","bosse",NA,"omar_s"
276,"wp","boude",NA,"omar_s"
277,"wp","coule",NA,"omar_s"
278,"wp","fend",NA,"omar_s"
279,"wp","rond",NA,"omar_s"
280,"wp","rends",NA,"omar_s"
281,"wp","vendu",NA,"omar_s"
282,"wp","vente",NA,"omar_s"
283,"wp","perte",NA,"omar_s"
284,"wp","aide",NA,"omar_s"
285,"wp","vise",NA,"omar_s"
286,"wp","paire",NA,"omar_s"
287,"wp","foire",NA,"omar_s"
288,"wp","fait",NA,"omar_s"
289,"wp","luit",NA,"omar_s"
