"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"paul-henri_yb"
203,"wp","selle",NA,"paul-henri_yb"
204,"wp","bise",NA,"paul-henri_yb"
205,"wp","vase","vas","paul-henri_yb"
206,"wp","murs",NA,"paul-henri_yb"
207,"wp","sers",NA,"paul-henri_yb"
208,"wp","dira",NA,"paul-henri_yb"
209,"wp","dure",NA,"paul-henri_yb"
210,"wp","serra",NA,"paul-henri_yb"
211,"wp","verre",NA,"paul-henri_yb"
212,"wp","malle",NA,"paul-henri_yb"
213,"wp","bille",NA,"paul-henri_yb"
214,"wp","cape",NA,"paul-henri_yb"
215,"wp","page",NA,"paul-henri_yb"
216,"wp","peur",NA,"paul-henri_yb"
217,"wp","poux",NA,"paul-henri_yb"
218,"wp","mots",NA,"paul-henri_yb"
219,"wp","pois",NA,"paul-henri_yb"
220,"wp","liège",NA,"paul-henri_yb"
221,"wp","singe",NA,"paul-henri_yb"
222,"wp","doux",NA,"paul-henri_yb"
223,"wp","peux",NA,"paul-henri_yb"
224,"wp","litre",NA,"paul-henri_yb"
225,"wp","vivre",NA,"paul-henri_yb"
226,"wp","puis",NA,"paul-henri_yb"
227,"wp","sois",NA,"paul-henri_yb"
228,"wp","mille","mij","paul-henri_yb"
229,"wp","folle",NA,"paul-henri_yb"
230,"wp","peine",NA,"paul-henri_yb"
231,"wp","reins",NA,"paul-henri_yb"
232,"wp","mont",NA,"paul-henri_yb"
233,"wp","sent",NA,"paul-henri_yb"
234,"wp","aire",NA,"paul-henri_yb"
235,"wp","pile",NA,"paul-henri_yb"
236,"wp","aime",NA,"paul-henri_yb"
237,"wp","armé",NA,"paul-henri_yb"
238,"wp","bout",NA,"paul-henri_yb"
239,"wp","toit",NA,"paul-henri_yb"
240,"wp","lame",NA,"paul-henri_yb"
241,"wp","rime",NA,"paul-henri_yb"
242,"wp","soin",NA,"paul-henri_yb"
243,"wp","sais",NA,"paul-henri_yb"
244,"wp","note",NA,"paul-henri_yb"
245,"wp","voie",NA,"paul-henri_yb"
246,"wp","gris",NA,"paul-henri_yb"
247,"wp","iras",NA,"paul-henri_yb"
248,"wp","ferai",NA,"paul-henri_yb"
249,"wp","seras",NA,"paul-henri_yb"
250,"wp","colle",NA,"paul-henri_yb"
251,"wp","foule",NA,"paul-henri_yb"
252,"wp","grave",NA,"paul-henri_yb"
253,"wp","brève",NA,"paul-henri_yb"
254,"wp","fous",NA,"paul-henri_yb"
255,"wp","tour",NA,"paul-henri_yb"
256,"wp","masse",NA,"paul-henri_yb"
257,"wp","cesse",NA,"paul-henri_yb"
258,"wp","fixa",NA,"paul-henri_yb"
259,"wp","file",NA,"paul-henri_yb"
260,"wp","manie",NA,"paul-henri_yb"
261,"wp","marge",NA,"paul-henri_yb"
262,"wp","dont",NA,"paul-henri_yb"
263,"wp","vent",NA,"paul-henri_yb"
264,"wp","fois",NA,"paul-henri_yb"
265,"wp","mais",NA,"paul-henri_yb"
266,"wp","verra",NA,"paul-henri_yb"
267,"wp","verse",NA,"paul-henri_yb"
268,"wp","faute",NA,"paul-henri_yb"
269,"wp","sauve",NA,"paul-henri_yb"
270,"wp","fini",NA,"paul-henri_yb"
271,"wp","mine",NA,"paul-henri_yb"
272,"wp","dure",NA,"paul-henri_yb"
273,"wp","pire",NA,"paul-henri_yb"
274,"wp","fasse",NA,"paul-henri_yb"
275,"wp","bosse",NA,"paul-henri_yb"
276,"wp","boude",NA,"paul-henri_yb"
277,"wp","coule",NA,"paul-henri_yb"
278,"wp","fend",NA,"paul-henri_yb"
279,"wp","rond",NA,"paul-henri_yb"
280,"wp","rends",NA,"paul-henri_yb"
281,"wp","vendu",NA,"paul-henri_yb"
282,"wp","vente",NA,"paul-henri_yb"
283,"wp","perte",NA,"paul-henri_yb"
284,"wp","aide",NA,"paul-henri_yb"
285,"wp","vise",NA,"paul-henri_yb"
286,"wp","paire",NA,"paul-henri_yb"
287,"wp","foire",NA,"paul-henri_yb"
288,"wp","fait",NA,"paul-henri_yb"
289,"wp","luit",NA,"paul-henri_yb"
