"order","test_id","word","response","subj_id"
202,"wp","balle","baz","pierre-alexandre_o"
203,"wp","selle",NA,"pierre-alexandre_o"
204,"wp","bise",NA,"pierre-alexandre_o"
205,"wp","vase",NA,"pierre-alexandre_o"
206,"wp","murs",NA,"pierre-alexandre_o"
207,"wp","sers",NA,"pierre-alexandre_o"
208,"wp","dira",NA,"pierre-alexandre_o"
209,"wp","dure",NA,"pierre-alexandre_o"
210,"wp","serra",NA,"pierre-alexandre_o"
211,"wp","verre",NA,"pierre-alexandre_o"
212,"wp","malle","maj","pierre-alexandre_o"
213,"wp","bille",NA,"pierre-alexandre_o"
214,"wp","cape",NA,"pierre-alexandre_o"
215,"wp","page",NA,"pierre-alexandre_o"
216,"wp","peur",NA,"pierre-alexandre_o"
217,"wp","poux",NA,"pierre-alexandre_o"
218,"wp","mots",NA,"pierre-alexandre_o"
219,"wp","pois",NA,"pierre-alexandre_o"
220,"wp","liège",NA,"pierre-alexandre_o"
221,"wp","singe",NA,"pierre-alexandre_o"
222,"wp","doux",NA,"pierre-alexandre_o"
223,"wp","peux",NA,"pierre-alexandre_o"
224,"wp","litre",NA,"pierre-alexandre_o"
225,"wp","vivre","vitr","pierre-alexandre_o"
226,"wp","puis",NA,"pierre-alexandre_o"
227,"wp","sois",NA,"pierre-alexandre_o"
228,"wp","mille",NA,"pierre-alexandre_o"
229,"wp","folle",NA,"pierre-alexandre_o"
230,"wp","peine",NA,"pierre-alexandre_o"
231,"wp","reins","rEn","pierre-alexandre_o"
232,"wp","mont",NA,"pierre-alexandre_o"
233,"wp","sent",NA,"pierre-alexandre_o"
234,"wp","aire","ar","pierre-alexandre_o"
235,"wp","pile",NA,"pierre-alexandre_o"
236,"wp","aime",NA,"pierre-alexandre_o"
237,"wp","armé",NA,"pierre-alexandre_o"
238,"wp","bout",NA,"pierre-alexandre_o"
239,"wp","toit",NA,"pierre-alexandre_o"
240,"wp","lame",NA,"pierre-alexandre_o"
241,"wp","rime",NA,"pierre-alexandre_o"
242,"wp","soin",NA,"pierre-alexandre_o"
243,"wp","sais",NA,"pierre-alexandre_o"
244,"wp","note",NA,"pierre-alexandre_o"
245,"wp","voie",NA,"pierre-alexandre_o"
246,"wp","gris",NA,"pierre-alexandre_o"
247,"wp","iras",NA,"pierre-alexandre_o"
248,"wp","ferai",NA,"pierre-alexandre_o"
249,"wp","seras",NA,"pierre-alexandre_o"
250,"wp","colle",NA,"pierre-alexandre_o"
251,"wp","foule",NA,"pierre-alexandre_o"
252,"wp","grave",NA,"pierre-alexandre_o"
253,"wp","brève",NA,"pierre-alexandre_o"
254,"wp","fous",NA,"pierre-alexandre_o"
255,"wp","tour",NA,"pierre-alexandre_o"
256,"wp","masse",NA,"pierre-alexandre_o"
257,"wp","cesse",NA,"pierre-alexandre_o"
258,"wp","fixa",NA,"pierre-alexandre_o"
259,"wp","file",NA,"pierre-alexandre_o"
260,"wp","manie","manje","pierre-alexandre_o"
261,"wp","marge",NA,"pierre-alexandre_o"
262,"wp","dont",NA,"pierre-alexandre_o"
263,"wp","vent",NA,"pierre-alexandre_o"
264,"wp","fois",NA,"pierre-alexandre_o"
265,"wp","mais",NA,"pierre-alexandre_o"
266,"wp","verra",NA,"pierre-alexandre_o"
267,"wp","verse",NA,"pierre-alexandre_o"
268,"wp","faute",NA,"pierre-alexandre_o"
269,"wp","sauve",NA,"pierre-alexandre_o"
270,"wp","fini",NA,"pierre-alexandre_o"
271,"wp","mine",NA,"pierre-alexandre_o"
272,"wp","dure",NA,"pierre-alexandre_o"
273,"wp","pire",NA,"pierre-alexandre_o"
274,"wp","fasse",NA,"pierre-alexandre_o"
275,"wp","bosse",NA,"pierre-alexandre_o"
276,"wp","boude",NA,"pierre-alexandre_o"
277,"wp","coule",NA,"pierre-alexandre_o"
278,"wp","fend",NA,"pierre-alexandre_o"
279,"wp","rond",NA,"pierre-alexandre_o"
280,"wp","rends",NA,"pierre-alexandre_o"
281,"wp","vendu",NA,"pierre-alexandre_o"
282,"wp","vente",NA,"pierre-alexandre_o"
283,"wp","perte",NA,"pierre-alexandre_o"
284,"wp","aide",NA,"pierre-alexandre_o"
285,"wp","vise",NA,"pierre-alexandre_o"
286,"wp","paire",NA,"pierre-alexandre_o"
287,"wp","foire",NA,"pierre-alexandre_o"
288,"wp","fait",NA,"pierre-alexandre_o"
289,"wp","luit",NA,"pierre-alexandre_o"
