"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"raya_h"
203,"wp","selle",NA,"raya_h"
204,"wp","bise",NA,"raya_h"
205,"wp","vase",NA,"raya_h"
206,"wp","murs",NA,"raya_h"
207,"wp","sers",NA,"raya_h"
208,"wp","dira",NA,"raya_h"
209,"wp","dure",NA,"raya_h"
210,"wp","serra",NA,"raya_h"
211,"wp","verre",NA,"raya_h"
212,"wp","malle",NA,"raya_h"
213,"wp","bille",NA,"raya_h"
214,"wp","cape",NA,"raya_h"
215,"wp","page",NA,"raya_h"
216,"wp","peur",NA,"raya_h"
217,"wp","poux",NA,"raya_h"
218,"wp","mots",NA,"raya_h"
219,"wp","pois",NA,"raya_h"
220,"wp","liège",NA,"raya_h"
221,"wp","singe",NA,"raya_h"
222,"wp","doux",NA,"raya_h"
223,"wp","peux",NA,"raya_h"
224,"wp","litre",NA,"raya_h"
225,"wp","vivre",NA,"raya_h"
226,"wp","puis",NA,"raya_h"
227,"wp","sois",NA,"raya_h"
228,"wp","mille",NA,"raya_h"
229,"wp","folle",NA,"raya_h"
230,"wp","peine",NA,"raya_h"
231,"wp","reins",NA,"raya_h"
232,"wp","mont",NA,"raya_h"
233,"wp","sent",NA,"raya_h"
234,"wp","aire",NA,"raya_h"
235,"wp","pile",NA,"raya_h"
236,"wp","aime",NA,"raya_h"
237,"wp","armé",NA,"raya_h"
238,"wp","bout",NA,"raya_h"
239,"wp","toit",NA,"raya_h"
240,"wp","lame",NA,"raya_h"
241,"wp","rime",NA,"raya_h"
242,"wp","soin",NA,"raya_h"
243,"wp","sais",NA,"raya_h"
244,"wp","note",NA,"raya_h"
245,"wp","voie",NA,"raya_h"
246,"wp","gris",NA,"raya_h"
247,"wp","iras","iras","raya_h"
248,"wp","ferai",NA,"raya_h"
249,"wp","seras","sEras","raya_h"
250,"wp","colle",NA,"raya_h"
251,"wp","foule",NA,"raya_h"
252,"wp","grave",NA,"raya_h"
253,"wp","brève",NA,"raya_h"
254,"wp","fous",NA,"raya_h"
255,"wp","tour",NA,"raya_h"
256,"wp","masse",NA,"raya_h"
257,"wp","cesse",NA,"raya_h"
258,"wp","fixa",NA,"raya_h"
259,"wp","file",NA,"raya_h"
260,"wp","manie",NA,"raya_h"
261,"wp","marge",NA,"raya_h"
262,"wp","dont",NA,"raya_h"
263,"wp","vent",NA,"raya_h"
264,"wp","fois",NA,"raya_h"
265,"wp","mais",NA,"raya_h"
266,"wp","verra",NA,"raya_h"
267,"wp","verse",NA,"raya_h"
268,"wp","faute",NA,"raya_h"
269,"wp","sauve",NA,"raya_h"
270,"wp","fini",NA,"raya_h"
271,"wp","mine",NA,"raya_h"
272,"wp","dure",NA,"raya_h"
273,"wp","pire",NA,"raya_h"
274,"wp","fasse",NA,"raya_h"
275,"wp","bosse",NA,"raya_h"
276,"wp","boude",NA,"raya_h"
277,"wp","coule",NA,"raya_h"
278,"wp","fend",NA,"raya_h"
279,"wp","rond",NA,"raya_h"
280,"wp","rends",NA,"raya_h"
281,"wp","vendu",NA,"raya_h"
282,"wp","vente",NA,"raya_h"
283,"wp","perte",NA,"raya_h"
284,"wp","aide",NA,"raya_h"
285,"wp","vise",NA,"raya_h"
286,"wp","paire",NA,"raya_h"
287,"wp","foire",NA,"raya_h"
288,"wp","fait",NA,"raya_h"
289,"wp","luit",NA,"raya_h"
