"order","test_id","word","response","subj_id"
202,"wp","balle",NA,"saidou_t"
203,"wp","selle",NA,"saidou_t"
204,"wp","bise",NA,"saidou_t"
205,"wp","vase",NA,"saidou_t"
206,"wp","murs",NA,"saidou_t"
207,"wp","sers",NA,"saidou_t"
208,"wp","dira",NA,"saidou_t"
209,"wp","dure",NA,"saidou_t"
210,"wp","serra",NA,"saidou_t"
211,"wp","verre",NA,"saidou_t"
212,"wp","malle","maj","saidou_t"
213,"wp","bille",NA,"saidou_t"
214,"wp","cape",NA,"saidou_t"
215,"wp","page",NA,"saidou_t"
216,"wp","peur",NA,"saidou_t"
217,"wp","poux",NA,"saidou_t"
218,"wp","mots",NA,"saidou_t"
219,"wp","pois",NA,"saidou_t"
220,"wp","liège",NA,"saidou_t"
221,"wp","singe",NA,"saidou_t"
222,"wp","doux","pu","saidou_t"
223,"wp","peux",NA,"saidou_t"
224,"wp","litre",NA,"saidou_t"
225,"wp","vivre",NA,"saidou_t"
226,"wp","puis",NA,"saidou_t"
227,"wp","sois",NA,"saidou_t"
228,"wp","mille",NA,"saidou_t"
229,"wp","folle",NA,"saidou_t"
230,"wp","peine",NA,"saidou_t"
231,"wp","reins",NA,"saidou_t"
232,"wp","mont",NA,"saidou_t"
233,"wp","sent",NA,"saidou_t"
234,"wp","aire",NA,"saidou_t"
235,"wp","pile",NA,"saidou_t"
236,"wp","aime",NA,"saidou_t"
237,"wp","armé",NA,"saidou_t"
238,"wp","bout",NA,"saidou_t"
239,"wp","toit",NA,"saidou_t"
240,"wp","lame",NA,"saidou_t"
241,"wp","rime",NA,"saidou_t"
242,"wp","soin",NA,"saidou_t"
243,"wp","sais",NA,"saidou_t"
244,"wp","note",NA,"saidou_t"
245,"wp","voie",NA,"saidou_t"
246,"wp","gris",NA,"saidou_t"
247,"wp","iras",NA,"saidou_t"
248,"wp","ferai",NA,"saidou_t"
249,"wp","seras",NA,"saidou_t"
250,"wp","colle",NA,"saidou_t"
251,"wp","foule",NA,"saidou_t"
252,"wp","grave",NA,"saidou_t"
253,"wp","brève",NA,"saidou_t"
254,"wp","fous",NA,"saidou_t"
255,"wp","tour",NA,"saidou_t"
256,"wp","masse",NA,"saidou_t"
257,"wp","cesse",NA,"saidou_t"
258,"wp","fixa",NA,"saidou_t"
259,"wp","file",NA,"saidou_t"
260,"wp","manie",NA,"saidou_t"
261,"wp","marge",NA,"saidou_t"
262,"wp","dont",NA,"saidou_t"
263,"wp","vent",NA,"saidou_t"
264,"wp","fois",NA,"saidou_t"
265,"wp","mais",NA,"saidou_t"
266,"wp","verra",NA,"saidou_t"
267,"wp","verse","vErse","saidou_t"
268,"wp","faute",NA,"saidou_t"
269,"wp","sauve",NA,"saidou_t"
270,"wp","fini",NA,"saidou_t"
271,"wp","mine",NA,"saidou_t"
272,"wp","dure",NA,"saidou_t"
273,"wp","pire",NA,"saidou_t"
274,"wp","fasse",NA,"saidou_t"
275,"wp","bosse",NA,"saidou_t"
276,"wp","boude",NA,"saidou_t"
277,"wp","coule",NA,"saidou_t"
278,"wp","fend",NA,"saidou_t"
279,"wp","rond",NA,"saidou_t"
280,"wp","rends",NA,"saidou_t"
281,"wp","vendu",NA,"saidou_t"
282,"wp","vente",NA,"saidou_t"
283,"wp","perte",NA,"saidou_t"
284,"wp","aide",NA,"saidou_t"
285,"wp","vise",NA,"saidou_t"
286,"wp","paire",NA,"saidou_t"
287,"wp","foire",NA,"saidou_t"
288,"wp","fait",NA,"saidou_t"
289,"wp","luit",NA,"saidou_t"
