trial_index,subj_id,test_id,rt,word,button_pressed_text
162,se066nwr1e,pw,1007.5,arbi,arbi
163,se066nwr1e,pw,2169.9,flache,flaS
164,se066nwr1e,pw,3737.7,noveau,nuvo
165,se066nwr1e,pw,2832.7,pocile,poli
166,se066nwr1e,pw,6400.3,trapide,trapid
167,se066nwr1e,pw,4846.4,lagne,laN
168,se066nwr1e,pw,4283,géont,Ze§
169,se066nwr1e,pw,5905,klapin,klap5
170,se066nwr1e,pw,8201.2,pourte,purt
171,se066nwr1e,pw,3692.9,blacon,blas§
172,se066nwr1e,pw,5340.6,hatiberai,atib*rE
173,se066nwr1e,pw,5527.9,voclan,vosl@
174,se066nwr1e,pw,4068.6,pormis,pormi
175,se066nwr1e,pw,4777,anical,@isa
176,se066nwr1e,pw,4124.6,spil,spil
177,se066nwr1e,pw,7351.3,catron,katr§
178,se066nwr1e,pw,3598.4,gruse,grys
179,se066nwr1e,pw,11848.7,matreau,matro
180,se066nwr1e,pw,6161.9,corque,kork
181,se066nwr1e,pw,2132.7,dummage,dymaZ
182,se066nwr1e,pw,2719.1,éballon,ebal§
183,se066nwr1e,pw,2067.1,troche,torS
184,se066nwr1e,pw,4035.3,glabe,glab
185,se066nwr1e,pw,5329.8,batiller,bate
186,se066nwr1e,pw,1383.2,truche,tryS
187,se066nwr1e,pw,4213.7,ovile,ovil
188,se066nwr1e,pw,3048.6,proc,por
189,se066nwr1e,pw,9859.8,scolle,skol
190,se066nwr1e,pw,2004.1,fotre,fotr*
191,se066nwr1e,pw,5725.4,pulbic,pylblik
192,se066nwr1e,pw,2697.4,gaise,ZEs
193,se066nwr1e,pw,8450.2,reprati,r*prEti
194,se066nwr1e,pw,1098.5,mantou,m@tu
195,se066nwr1e,pw,5644.1,quafilie,kafilir
196,se066nwr1e,pw,3364.8,socrier,sorsiEr
197,se066nwr1e,pw,5452.8,moigre,mwaZir
198,se066nwr1e,pw,3103.5,ibole,1bol
199,se066nwr1e,pw,5278,virtail,virtEl
200,se066nwr1e,pw,2042,miatre,miatr*
201,se066nwr1e,pw,3698.8,rabio,radio
